码	调整前	调整后
wtwx	文恬武嬉、无图无真相	无图无真相、文恬武嬉
wubd	五百、伍佰、为数不多、无事不登三宝殿	伍佰、为数不多、无事不登三宝殿、五百
wubh	浯、我说不好	浯、诬谤、我说不好
wubm	无边	无边、屋边
wubn	洖	洖、无表
wubo	洿、污、汚	洿、污、汚、物博
wubu	舞步、无不、为数不少	无不、舞步、为数不少
wubw	吾辈、为时不晚、汙、㵲	五倍、为时不晚、汙、㵲、吾辈
wuce	雺	雺、无策、误测
wucg	怃	怃、五层
wucj	午餐、物	午餐、物、无参、无惨
wuco	无措	无措、无错
wuda	武打、五大、武大	五大、武打、武大
wudd	五代	五代、勿带
wudg	诬、雾灯、吾等、网上代购、誣	诬、吾等、雾灯、网上代购、誣
wudh	武当	武当、五档、捂裆
wudm	污点、五点、误点	五点、污点、误点
wudn	误、䛩、誤	误、䛩、誤、误掉
wudr	无端、武断、譕	无端、武断、譕、五段
wuer	吾儿、无二、鵐、烏	无二、吾儿、鵐、烏、武二
wufa	无法、乌发、㐳	无法、乌发、㐳、误发
wuff	侮、五分	侮、五分、五份
wufj	午饭、伆	午饭、伆、悟饭
wufo	橆	橆、无佛
wufu	伍、武夫、无事发生	伍、武夫、误服、无事发生
wugh	珸、武钢、钨钢	珸、钨钢、武钢
wugk	无怪	勿怪、无怪
wugs	武功、蜈蚣、务工、误工	武功、蜈蚣、物攻、务工、误工
wugx	务实高效	无挂、务实高效
wuhc	五好、五号、午好	五号、午好、五好
wuhd	无害、乌海	无害、无孩、乌海
wuhe	无核	无核、五盒
wuhl	吾皇	吾皇、五荒
wuhu	芜湖、呜呼	呜呼、芜湖
wuhv	误会、污秽、无悔、舞会	误会、无悔、污秽、舞会
wuhw	乌黑	乌黑、五黑
wuhx	物化、雾化、无话	物化、无话、雾化
wuia	误差	误差、无差
wuie	误车、无车	无车、误车
wuif	戊辰、无尘	无尘、戊辰
wuii	无耻、舞池	无耻、舞池、武痴
wuij	物产	物产、悟禅
wuir	误传	误传、物穿
wuis	剭	剭、无重、无冲
wuiy	屋	屋、无春
wujt	五绝	五绝、五觉
wuju	舞剧、无惧	无惧、舞剧
wujx	物价、无价	无价、物价
wujy	无菌、网上交易	无菌、乌军、网上交易
wuke	无可、舞客	舞客、无可
wukh	铻	铻、物抗
wuks	悟空	悟空、物控
wuku	武库	武库、勿酷
wula	乌拉、扤	乌拉、扤、靰鞡
wule	误了	悟了、误了、无了
wulj	勿滥、乌兰	乌兰、勿滥
wuln	无聊、物料	无聊、物料、无料
wulr	摀	摀、五乱
wulw	物类	吴磊、物类
wumg	无梦	无梦、舞萌
wumm	无眠、屋面	无眠、雾面、屋面
wumn	武庙、蜈	五秒、蜈、武庙
wumu	乌木	乌木、武穆
wumw	妩媚、乌梅、舞美、无上美味	妩媚、乌梅、无上美味、舞美
wund	无奈、五十年代	无奈、吾乃、五十年代
wunr	䡧、鵡、鴮	䡧、鵡、鴮、捂暖、无暖
wupa	阢	阢、舞啪、乌帕
wupb	物品	物品、五品
wupf	污水排放	勿喷、污水排放
wupk	武平	武平、无凭
wupm	望山跑死马	五篇、望山跑死马
wuqp	旿、务	旿、务、雾切
wuqu	误区、无趣、舞曲、万水千山	误区、无趣、万水千山、舞曲
wuri	无日、五日	五日、无日
wusi	无私、五四	无私、捂死、五四
wusj	五三、未上锁的房间	五三、雾散、未上锁的房间
wusr	无算、鶩、熃、䳱、廡、騖	无算、鶩、熃、䳱、廡、騖、误算
wuth	无糖	无糖、五趟
wuto	圬	圬、午托
wutz	屋头、无头	捂头、屋头、无头
wuui	五十、无视、巫师、武士、务实、无时、误事、舞狮、误食、午时、无事	无视、巫师、五十、武士、务实、无时、误事、舞狮、误食、午时、无事
wuuj	误删、巫山、无手射精	误删、勿删、无删、无手射精、巫山
wuul	无双	无双、五双
wuuv	午睡、污水、雾水	污水、午睡、雾水
wuux	无刷	无刷、五刷
wuuz	为时尚早	无首、捂手、为时尚早
wuvc	无照	无照、武曌
wuve	舞者、武者	捂着、舞者、武者
wuvg	物证、无证	无证、物证
wuvh	㹳	㹳、五张、无章
wuvs	物种	物种、屋中
wuvz	梧州、五洲	五洲、梧州
wuwd	物外、屋外	屋外、物外
wuww	无畏、无味、无谓、无为、武威、畏首畏尾、万事万物	无畏、万事万物、畏首畏尾、无味、无谓、无为、武威
wuxk	无形、五行、悟性、五星、无性、武行	无形、悟性、五行、武行、五星、无性
wuxl	物像、五香、物象	五香、物像、物象
wuxp	舞鞋、无邪	无邪、舞鞋
wuxq	午休、无休、无事献殷勤	午休、无休、无修、无事献殷勤
wuxr	蕪	蕪、误选
wuxx	无暇、无瑕、武侠	无暇、武侠、无瑕
wuyb	无垠、五音	无垠、戊寅、五音
wuyc	巫妖、勿要	勿要、巫妖
wuye	午夜、物业、呜咽、无业	午夜、呜咽、物业、无业
wuyi	无意、无疑、五一、无益、无异、武艺、五亿、无以、巫医、武夷、武义	无疑、无意、无益、五一、无异、武艺、五亿、无以、巫医、武夷、武义
wuyj	屋檐、无言、午宴、无烟、误伤友军、岉	无言、屋檐、误伤友军、午宴、无烟、岉
wuyr	无缘、婺源、勿施于人、嵨、鰞	无缘、五元、勿施于人、嵨、鰞、婺源
wuyu	无语、物语、物欲、无欲	无语、无欲、物语、物欲
wuzo	无座	无座、仵作
wuzr	嫵	嫵、无钻
wuzu	无阻	五组、无阻
wvji	武装警察、物质基础	物质基础、武装警察
wvqy	武装起义、物种起源	物种起源、武装起义
wvvb	瓮中之鳖、瓮中捉鳖	瓮中捉鳖、瓮中之鳖
wvyy	宛转悠扬、未之有也	未之有也、宛转悠扬
wwai	胃癌	胃癌、唯爱
wwba	尾巴、濻	尾巴、濻、为把
wwbc	卫报	喂饱、卫报
wwbj	为伴	围板、为伴
wwbk	卫兵、胃病、未为不可、万万不可、渨	卫兵、万万不可、胃病、未为不可、渨
wwbm	浘	浘、围边、微变
wwbo	微薄、微博、微波、围脖、韦伯	微博、微薄、微波、围脖、韦伯
wwbp	沩、瀢	沩、瀢、为别
wwco	位错	位错、未错
wwcu	微蹙	微蹙、围簇
wwcv	㥜	㥜、猥獕
wwcy	霨	霨、未存
wwda	伟大	伟大、韦达
wwdc	味道	味道、喂到
wwdd	微贷、稳稳当当	未带、微贷、胃袋、稳稳当当
wwde	武无第二、文无第一，武无第二	未得、维德、文无第一，武无第二、武无第二
wwdg	尾灯、蔚为大观、汪汪队立大功、䜅	未等、尾灯、汪汪队立大功、䜅、蔚为大观
wwdi	为敌	为敌、为底
wwdu	唯独、维度、纬度、围堵	唯独、维度、未读、纬度、围堵
wwdx	惟吾德馨、未完待续、唯我独醒	未完待续、唯我独醒、惟吾德馨
wwer	味儿、威尔	味儿、唯二、威尔
wwff	微分	微分、未分、伪粉
wwfg	微风、威风	威风、微风
wwfj	违反、违犯	违反、喂饭、违犯
wwfu	为辅、微服	未付、为辅、微服
wwfw	偉	偉、危废
wwge	伟哥	伟哥、位格
wwgj	桅杆	桅杆、未干
wwgo	未果、魏国、卫国	魏国、未果、卫国
wwgv	违规、玮	违规、玮、未归
wwgw	韑、鍏、瑋	韑、鍏、瑋、未给、为给
wwgx	为我高兴	未挂、为我高兴
wwgz	餧	餧、喂狗、未购
wwhc	尾号	尾号、为好
wwhe	为何、维和、违和、渭河、㖐	为何、违和、维和、渭河、㖐
wwhj	畏寒	微寒、畏寒
wwhk	喂	喂、慰怀
wwhx	威化	卫华、威化
wwhz	喴	喴、尾喉、尾后
wwig	围城、围成	围成、围城
wwih	胃肠、未尝、围场	未尝、胃肠、围场
wwii	维持	维持、为耻
wwiz	䍴	䍴、微臭
wwjp	慰藉、䃬、磈	慰藉、䃬、磈、未接
wwju	畏惧、位居、危局、往往就是	畏惧、位居、往往就是、危局
wwjx	为佳	未嫁、为佳、围甲
wwjy	伪军	伪军、魏军
wwke	微课、微克	微克、微氪、微课
wwkj	五维空间	未看、五维空间
wwks	唯恐、惟恐	唯恐、为空、微恐、惟恐
wwku	微苦	味苦、微苦
wwlc	慰劳	慰劳、未老
wwle	为了	为了、萎了、喂了
wwlg	微冷	微冷、畏冷
wwlk	违令、揋、㱬	为零、揋、㱬、违令
wwlm	威廉、捤	威廉、捤、尾联
wwlq	慰留、尾流	尾流、慰留
wwlu	围炉、唯唯连声	微露、围炉、唯唯连声
wwlv	尾闾、㨊、撱	微滤、㨊、撱、尾闾
wwma	喂马、为嘛	为嘛、喂马
wwmc	为毛	喂猫、伪冒、为毛
wwmi	萎靡、维密、微米	萎靡、微眯、维密、微米
wwmk	为名、威名	威名、为名
wwmn	微妙	微妙、为妙
wwmp	䪋、鄬	䪋、鄬、未灭
wwmz	蜲、蝛	蜲、蝛、为谋
wwnh	軎	軎、微囊
wwni	违逆	为你、违逆
wwnn	歪歪扭扭、唯唯诺诺	唯唯诺诺、歪歪扭扭
wwnq	违拗、轊	喂牛、轊、违拗
wwnw	颹	颹、委内、围内
wwph	微胖	微胖、喂胖
wwpi	文物普查	未批、文物普查
wwpk	畏、隈、㞇	畏、隈、㞇、为凭、未平
wwpm	文物拍卖	卫片、文物拍卖
wwpn	卫	卫、微票
wwpo	威迫	威迫、危迫
wwpp	隗、为	隗、为、微瞥
wwql	围墙	围墙、危墙
wwqq	弯弯曲曲、完完全全、万万千千、覹	完完全全、弯弯曲曲、万万千千、覹
wwqu	委屈、委曲	委屈、未去、委曲
wwqy	围裙、无畏契约、万物起源	围裙、微群、无畏契约、万物起源
wwre	微热	微热、胃热
wwrf	伟人、委任、为人	伟人、委任、伪人、为人
wwrj	蔚然、未然、巍然	未然、蔚然、巍然
wwro	微弱	微弱、未若
wwrr	微软、弯弯绕绕、我为人人、䈧	微软、我为人人、弯弯绕绕、䈧
wwry	温文儒雅、温婉柔雅、煀	温婉柔雅、温文儒雅、煀
wwso	猥琐、萎缩、畏缩、微缩	猥琐、畏缩、萎缩、微缩
wwsv	尾随、危、未遂、玩物丧志、痏	未遂、危、尾随、玩物丧志、痏
wwti	为题	为题、未提
wwtk	违停、㙗	违停、㙗、未停
wwtm	䞔	䞔、微甜、未填
wwtz	㙎	㙎、微透
wwua	为啥	为啥、围杀、尾杀
wwue	威慑	威慑、未射
wwug	卫生、尾声、为生、维生、唯物史观	卫生、尾声、唯物史观、为生、维生
wwuh	微商	围上、微商
wwuw	䙟、徫	䙟、徫、为谁
wwuz	为首、㣦、躗、躛	为首、㣦、躗、躛、未售
wwve	违者、为着、围着	围着、违者、为着
wwvg	为证、伪证、蔚为壮观	为证、微整、蔚为壮观、伪证
wwvh	违章、胃胀、微张	违章、微张、胃胀
wwvi	位置、为止、未知	位置、未知、为止
wwvs	危重、为重、亡我之心不死	危重、亡我之心不死、为重
wwvv	猬、尾椎、韦、围追、完完整整	猬、尾椎、韦、完完整整、围追
wwvz	无妄之灾	微皱、无妄之灾
wwwo	帷幄、为我	为我、唯我、帷幄
wwxb	威信、微信、违心、唯心、维新	微信、威信、违心、唯心、维新
wwxl	未向	未向、伪像
wwxm	危险、违宪、纬线、荱	危险、为先、违宪、荱、纬线
wwxt	万万行不通	微雪、万万行不通
wwyb	尾音	伪音、尾音
wwye	伟业、胃液、尾页	尾页、伟业、胃液
wwyi	唯一、位移、惟一、尾翼、偎依、卫衣、逶迤、威仪、微微一笑很倾城	唯一、位移、微微一笑很倾城、惟一、尾翼、偎依、卫衣、逶迤、威仪
wwyk	鳂、㟪、嵔、鰃	鳂、㟪、嵔、鰃、为迎
wwyu	位于、谓语、卫浴、万无一失	位于、喂鱼、万无一失、谓语、卫浴
wwyz	唯有、为由、未有、惟有、崣、鰄	唯有、未有、为由、惟有、崣、鰄
wwzc	伪造	伪造、未遭
wwzg	踓	踓、味增
wwzu	维族	维族、伪足
wwzz	媙	媙、尾奏、未走
wxdb	无线电报、无线电波	无线电波、无线电报
wxdl	文心雕龙、我想到了、妄下定论	我想到了、妄下定论、文心雕龙
wxwb	王祥卧冰、无喜无悲	无喜无悲、王祥卧冰
wyjj	五言绝句、婉言拒绝	婉言拒绝、五言绝句
wykd	无言可答、无言可对	无言可对、无言可答
wynl	外引内联、我要闹了	我要闹了、外引内联
wyvu	无源之水、毋庸赘述、唯一真神、唯一真史	毋庸赘述、唯一真神、唯一真史、无源之水
xbba	辛巴	辛巴、心巴
xbbc	心包	新包、心包
xbbi	信笔	信笔、新币
xbbn	信标	信标、新表
xbbu	信步	信不、信步
xbcg	惞	惞、锌层
xbcy	忻、新村、心存	忻、心存、新村
xbdc	信道、心道、䜗、訫	心道、信道、䜗、訫
xbdh	新党	新党、新档
xbdj	心胆、新单	新单、心胆
xbdk	锌锭	锌锭、新丁
xbdq	西北地区、西部地区	西部地区、西北地区
xbdv	喧宾夺主	新队、喧宾夺主
xbdz	新都、新兵蛋子、嬜	心都、新兵蛋子、嬜、新都
xbfa	新法、心法、伩	心法、新法、伩
xbff	新粉	新粉、锌粉
xbfj	心烦、新翻	心烦、新翻、新番
xbfu	信服、心腹	心腹、信服
xbgc	新高、鈊	新高、鈊、心高
xbge	信鸽、新歌	新歌、信鸽
xbgs	鋅	鋅、信工、新功
xbgv	新贵、新规	新规、新贵
xbgx	行不更名，坐不改姓	新瓜、行不更名，坐不改姓
xbhd	心海、辛亥	辛亥、心海
xbhe	新河	信合、新河
xbhr	新欢	新欢、心欢
xbhs	细胞坏死	新红、细胞坏死
xbhv	新会	心灰、新会
xbih	心肠、新昌、新厂	心肠、新厂、新昌
xbij	心颤	心颤、心馋
xbir	新传、想不出个所以然、想不出一个所以然	想不出个所以然、想不出一个所以然、新传
xbjb	薪金、新进、新近、新晋、心劲	新进、薪金、新晋、新近、心劲
xbjk	心境、心静、心惊、心经	心境、心惊、心静、心经
xbjm	新建、信件、心间、信笺、心尖	新建、心间、信件、信笺、心尖
xbjn	信教、心焦、新教	心焦、信教、新教
xbjq	新旧、学不进去	新旧、新酒、学不进去
xbjx	新加、新家	新家、新加
xbkd	新开	新开、新凯
xbke	新课、新科	新课、新客、新科
xbkf	西部开发	新垦、西部开发
xbkg	邪不可干	新坑、邪不可干
xbkh	笑比哭好	新康、笑比哭好
xbkj	心坎	心坎、新刊
xbkk	欣快、鑫	新快、鑫、欣快
xbkl	锌矿	锌矿、心狂
xbks	锌	锌、心空、新空
xbld	信赖	信赖、新来
xblt	下不了台、下不来台	下不来台、下不了台
xblu	新路、心路、行百里者半九十	新路、行百里者半九十、心路
xblv	心律、心率、新绿	心率、心律、新绿
xbmb	新民、想不明白	想不明白、新民
xbmo	心魔	心魔、新模
xbpi	心脾	心脾、新皮
xbqb	辛勤	辛勤、辛钦
xbqk	心情、下不去口	心情、心晴、下不去口
xbqn	新桥、心窍	心窍、新桥
xbqy	新群、昕、下笔千言、新标签页、盺	新群、昕、新标签页、下笔千言、盺
xbrf	信任、新人、新任、洗白弱三分	信任、新人、洗白弱三分、新任
xbry	炘、选拔任用	炘、新润、选拔任用
xbrz	惜兵如子	心柔、惜兵如子
xbsv	心碎	心碎、心随
xbtp	新帖	新帖、新贴
xbtu	信徒	信徒、新图
xbty	信笔涂鸦	新屯、信笔涂鸦
xbuy	小本生意、襑	心顺、襑、小本生意
xbuz	新手、信守、信手	新手、信手、信守
xbva	信札、脪	信札、脪、新闸
xbvf	新镇	新镇、心真
xbvu	新竹、新著	新著、新竹
xbvz	忻州、新洲	忻州、新舟、新洲
xbwu	信物、新屋	信物、心无、新屋
xbxk	新型、新兴、新星、心性、想不想看	新型、新兴、想不想看、新星、心性
xbxq	新秀、新修、写不下去、学不下去	新修、新秀、写不下去、学不下去
xbxx	心下、相不相信	心下、新下、相不相信
xbyc	新药	信谣、新药
xbyr	心愿	心愿、心缘
xbyy	西班牙语、瑕不掩瑜	瑕不掩瑜、西班牙语
xbzo	新作	新作、新做
xbzu	喜不自胜	新租、喜不自胜
xcyd	鲜翠欲滴、小菜一碟、下次一定	小菜一碟、下次一定、鲜翠欲滴
xdjx	下定决心、西点军校、笑点解析	下定决心、笑点解析、西点军校
xdui	心荡神驰、心底深处	心底深处、心荡神驰
xdul	相对说来、心地善良	心地善良、相对说来
xeby	学而不厌、笑而不语	笑而不语、学而不厌
xgbd	新冠病毒、相关报道	相关报道、新冠病毒
xgdj	循规蹈矩、小鬼当家、香菇炖鸡	循规蹈矩、香菇炖鸡、小鬼当家
xhff	雪花纷飞、新婚夫妇	新婚夫妇、雪花纷飞
xhjj	循环经济、相互借鉴	相互借鉴、循环经济
xhyc	相互依存、闲花野草	闲花野草、相互依存
xhyl	心慌意乱、心灰意冷、心灰意懒	心灰意冷、心慌意乱、心灰意懒
xhyx	相互影响、小鹤音形、小隺鸟音开彡	小鹤音形、相互影响、小隺鸟音开彡
xiba	浠、洗、漇	浠、洗、漇、西八、席八
xibc	细胞、稀薄、喜报、㴧	细胞、喜报、稀薄、㴧
xibh	心肠不坏	细棒、袭榜、心肠不坏
xibi	细笔	细笔、洗鼻
xibk	喜饼	息兵、喜饼
xibn	溪、渓	溪、渓、洗标、系表
xibw	西北、西楚霸王	西北、西贝、西楚霸王
xica	犧、悕、㦦、怬、䨳	犧、悕、㦦、怬、䨳、洗擦
xicd	细菜、洗菜、䊠、犔、霼	洗菜、细菜、䊠、犔、霼
xicf	现场采访	西岑、现场采访
xici	戏词、忚	戏词、忚、系辞
xidm	西点、细点	洗点、西点、细点
xidn	洗掉、袭、謑	洗掉、袭、謑、熄掉
xidy	謵	謵、西顿
xiee	舾、喜恶、西、覀	舾、喜恶、西、覀、嶍峨
xien	䳶、貕、豯	䳶、貕、豯、西恩、席恩
xier	希尔、熈	希尔、熈、西二
xiff	戏份、细分	细分、戏份
xigc	细高、䭒、鎴、鏭	洗稿、䭒、鎴、鏭、细高
xigh	鑴	鑴、细纲、西港
xigj	喜感、吸干、錫	吸干、喜感、錫
xigo	鈢	鈢、洗过
xigu	溪谷、戏骨、小城故事	戏骨、溪谷、小城故事
xigz	析构、现场工作	细狗、析构、现场工作
xihd	宣传活动、现场互动、㘊	吸嗨、宣传活动、㘊、现场互动
xihj	稀罕、西汉、喺	稀罕、西汉、喺、吸汗
xihr	喜欢、西环、焁、嚱	喜欢、西幻、焁、嚱、西环
xihu	西湖	西湖、洗护
xihy	咥、㗩、唽	咥、㗩、唽、吸魂、锡婚
xiia	屣、喜茶、细查、屭	屣、细查、喜茶、屭
xiic	窸、犀	窸、犀、吸潮
xiig	西城、戏称	戏称、西城
xiiu	析出	洗出、析出
xijb	西晋、吸进、吸金、锡金	吸进、西晋、吸金、锡金
xijk	洗净、吸睛、西经	洗净、戏精、吸睛、西经
xijl	西江、细讲、行车记录、矽	细讲、行车记录、西江、矽
xijn	西郊、洗脚、磎、縘	洗脚、西郊、磎、縘
xijr	席卷、磶	席卷、磶、袭卷
xijx	西甲、现场教学	西甲、西家、现场教学
xikh	𬭳、宣传口号	𬭳、细糠、宣传口号
xikz	溪口、西口	西口、溪口
xila	希腊	希腊、稀拉
xile	喜乐	洗了、吸了、喜乐
xili	犀利、洗礼、吸力、淅沥	洗礼、犀利、吸力、淅沥
xilw	席勒	烯类、席勒
xily	㱤	㱤、戏论
xilz	戏楼、西楼	西楼、戏楼
xima	戏码、䖷、䫣	戏码、䖷、䫣、希码
ximc	悉、螅、蟋、细毛	悉、螅、蟋、吸猫、细毛
ximh	谿、蟢、蠵	谿、蟢、蠵、西芒
ximi	戏迷、细密	细密、戏迷
ximk	惜命	惜命、西铭
ximn	奚、香车美女、螇	奚、细描、螇、香车美女
ximu	细目	细目、戏幕
xind	西奈、吸奶	吸奶、西奈
xinh	西城男孩、驨	溪囊、驨、西城男孩
xinm	系念、昔年	昔年、系念
xinu	息怒、喜怒	喜怒、息怒
xipm	西片、现场拍卖	洗片、西片、现场拍卖
xipo	隟	隟、西坡
xipu	系谱、犀浦	犀浦、系谱
xiqb	西芹	西芹、西秦
xiqq	希求	希求、锡球
xiqr	溪泉、戏	细犬、戏、溪泉
xiqt	喜鹊、稀缺	稀缺、喜鹊
xirf	喜人、袭人、昔人	昔人、喜人、袭人
xirh	熙攘、熺、䵱	熙攘、熺、䵱、息壤
xirj	洗染、焬	洗染、焬、熙然
xiso	细琐	细琐、细嗦
xisu	习俗	习俗、窸窣
xiti	习题	习题、喜提
xitj	细谈	细谈、吸痰
xitm	西天	西天、稀甜
xitr	熹、㚀	熹、㚀、喜团
xits	系统	系统、希同
xitv	赩	赩、细腿、西退
xity	辛丑条约	西屯、辛丑条约
xiua	徙、细纱、西沙、细沙	徙、西沙、细纱、细沙
xiue	徆	徆、西社
xiuh	禧、㣟	禧、㣟、吸上
xiui	稀释、西施、喜事、吸食、西式、稀世、下沉市场	稀释、西施、下沉市场、喜事、吸食、西式、稀世
xiuu	系数、稀疏、洗漱、悉数	稀疏、洗漱、系数、悉数
xiva	消除障碍、狶、䏮	西栅、狶、䏮、消除障碍
xivc	𠅤、夕照、戏照	𠅤、戏照、夕照
xive	系着	系着、吸着、洗着
xivf	新春祝福	膝枕、新春祝福
xivj	袭占、西站、笑出猪叫、䐼	西站、袭占、笑出猪叫、䐼
xivu	吸住	吸住、细珠
xivz	稀粥、西周	西周、稀粥
xiwf	檄文、细问、细纹	细问、檄文、细纹
xiwj	洗碗、相差无几	洗完、洗碗、相差无几
xiww	细微、席位、洗胃、熹微、喜出望外、匸、觹、觽	细微、席位、喜出望外、洗胃、熹微、匸、觹、觽
xixi	细细、嘻嘻、嬉戏、洗洗	细细、嬉戏、嘻嘻、洗洗
xixk	习性、西行	西行、习性
xixl	西乡、细想	细想、西乡
xixp	吸血、䓇	西斜、䓇、吸血
xixr	蕮	蕮、细选、西玄
xixu	唏嘘	唏嘘、欷吁
xiye	细叶	洗液、细叶
xiys	习用、行成于思、㔒	喜用、习用、㔒、行成于思
xiyu	洗浴、西域、细雨、细语	西域、洗浴、细雨、细语
xiyy	嶍、鳛、㠄、鰼	嶍、鳛、㠄、鰼、希芸
xiyz	稀有、西游、吸油、西柚	稀有、西游、西柚、吸油
xizy	宣传作用	牺尊、宣传作用
xjhj	相煎何急、相煎何太急	相煎何太急、相煎何急
xjjt	新旧交替、先进集体、相机镜头	新旧交替、相机镜头、先进集体
xjlf	修旧利废、想尽了一切办法	想尽了一切办法、修旧利废
xjwu	相继问世、新疆卫视	新疆卫视、相继问世
xkbk	性病、兴兵、小开不算开、涬、洐、㓑	兴兵、性病、小开不算开、涬、洐、㓑
xkbm	形变	行便、形变
xkbn	星标	星标、行镖
xkbu	刑部、行不	行不、刑部
xkci	行刺	行刺、行次
xkdc	行道	行到、行道
xkde	幸得	幸得、行得
xkff	兴奋	兴奋、性奋
xkfg	行风	行风、腥风
xkfj	行贩	星饭、行贩
xkgo	兴国	兴国、醒过
xkgv	行规、星轨	星轨、行规
xkhj	星汉	性寒、星汉
xkhv	行贿、行会、幸会	行贿、幸会、行会
xkjb	行进	行进、形近
xkjm	兴建、行间	兴建、星舰、行间
xkjt	小康家庭	星爵、小康家庭
xkju	刑具、行距、刑拘	刑拘、刑具、行距
xkjx	性价、行价	性价、兴家、行价
xkjy	行军	行军、星君
xkla	行啦、擤	行啦、擤、腥辣
xkle	行乐、醒了	行了、醒了、行乐
xklk	性灵、行令	行令、星灵、性灵
xkll	辛苦劳累、㐩	性凉、㐩、辛苦劳累
xklo	星罗	行咯、星罗
xklu	行路	行路、型录
xklv	刑律、行旅	行旅、刑律
xkly	相看两不厌	星轮、相看两不厌
xkma	形码	行吗、形码
xkmc	形貌	形貌、星猫
xkmw	星美、䗌	星美、䗌、型煤
xknu	性奴	性奴、星怒
xkpk	䰢	䰢、性平
xkqq	星球	星球、行秋
xkqu	兴趣	兴趣、性趣
xkrf	行人、杏仁	行人、杏仁、星人
xkrs	形容	形容、兴荣
xkru	形如	形如、刑辱
xkse	杏色、行色	行色、杏色
xksu	星宿、刑诉	刑诉、星宿
xktj	兴叹	兴叹、星探、杏坛
xktk	刑庭、幸	刑庭、幸、刑厅
xktp	心宽体胖	星铁、心宽体胖
xkts	形同、垶	形同、垶、星瞳
xktz	兴头、行头	行头、兴头
xkuh	行商、小康社会	小康社会、行商
xkuu	行书、杏树、行数、行署、新款上市	行书、杏树、新款上市、行数、行署
xkuy	心旷神怡	兴顺、心旷神怡
xkve	行者	行者、醒着
xkvi	性质、兴致、形制	性质、兴致、性致、形制
xkwf	行文	行文、性温
xkxl	形象、星象	形象、星象、性向
xkxm	性腺、兴县	兴县、性腺
xkyb	行吟、先看一遍	性瘾、行吟、形音、先看一遍
xkyc	星耀	星耀、性药、星曜
xkyh	荥阳、下课以后	下课以后、荥阳
xkyi	行医、兴义、形意	行医、形意、兴义
xkyj	杏眼	杏眼、醒言
xkyr	杏园、胸口一热	杏园、星元、性缘、胸口一热
xkyu	性欲	性欲、刑狱
xkze	𫰛、娙	𫰛、娙、刑责
xkzi	杏子、性子、星子	性子、杏子、星子
xlba	心里不安	想把、心里不安
xlbu	相簿、想不、迅雷不及掩耳之势、迅雷不及掩耳盗铃之势	相簿、迅雷不及掩耳之势、迅雷不及掩耳盗铃之势、想不
xlbw	相悖、向北、项背	向北、相悖、项背
xlcc	香草、学历层次	香草、想操、学历层次
xldc	想到、向导、巷道、绚丽多彩	想到、向导、绚丽多彩、巷道
xldi	箱底、相抵	相抵、箱底
xldj	详单	箱单、详单
xldm	想点	想点、香殿
xlds	响动、向东	向东、响动
xlfj	相反、相烦、襄樊、下了飞机	相反、相烦、下了飞机、襄樊
xlgc	相告	相告、想搞
xlgd	下列规定	想改、下列规定
xlgf	想了个办法	想跟、想了个办法
xlgj	相干	相干、想干
xlgl	向光、鐌	祥光、鐌、向光
xlgo	香锅、想过	想过、香锅
xlgr	相关	相关、乡官
xlgv	香闺	湘桂、香闺
xlgx	香瓜	香瓜、想挂
xlhc	相好、想好	想好、相好
xlhe	祥和、香河、相合、啌	祥和、想和、香河、啌、相合
xlho	香火、想活	香火、想火、想活
xlhr	乡宦、想换	想换、乡宦
xlhv	相会	相会、想回
xlhz	向后	向后、相候
xlif	相称	相称、相衬
xlig	相乘	想成、相乘
xlih	香肠、乡长、血流成河	香肠、血流成河、乡长
xlii	相持	想吃、相持
xlji	相机、相继、乡级、行李寄存处	相机、相继、行李寄存处、乡级
xljm	想见、相见、乡间、相间、详见、蚃、蠁	相见、想见、乡间、相间、详见、蚃、蠁
xljt	新老交替、心灵鸡汤	心灵鸡汤、新老交替
xlju	相聚、相距、心理建设、心理教师	相距、相聚、心理建设、心理教师
xljx	相加、想家	想家、相加
xlkc	想考	想考、想靠
xlke	香客、相克	相克、香客
xlkj	相看、想看	想看、相看
xlkl	相框	相框、像框
xlld	想来、向来	向来、想来
xlle	享乐	想了、响了、享乐
xlli	乡里、向里、心路历程	向里、乡里、心路历程
xllm	项链、相连、相恋	相连、项链、相恋
xllw	响雷	响雷、相类
xlma	䖮	䖮、想吗
xlmd	心里没底	想买、心里没底
xlmi	详密、香米	香米、详密
xlni	想你	向你、想你
xlnj	向南	向南、湘南
xlnr	训练内容、下列内容	向暖、训练内容、下列内容
xlns	香浓	香浓、乡农
xlnu	心里难受	象奴、心里难受
xlpi	橡皮、响屁	橡皮、响屁、详批
xlpw	相配、降	相配、降、相陪
xlqi	想起、响起、象棋、香气、心里清楚	想起、响起、心里清楚、象棋、香气
xlqk	详情、乡情、袖里乾坤	详情、想请、袖里乾坤、乡情
xlqu	相去、想去	想去、相去
xlrf	相认	相认、向人
xlrh	相让	相让、想让
xlrs	相容	相容、相融
xlru	想入	想入、香薷
xlss	相送	相送、香颂
xlsu	像素	像素、象素
xlti	箱体	箱体、厢体
xltj	湘潭、详谈、显露头角、泄露天机	详谈、湘潭、泄露天机、显露头角
xltk	想听	想听、箱庭
xltm	香甜	香甜、向天、想舔
xltv	塂	塂、想退
xlua	相杀	想啥、相杀
