a	啊
whv	望
whw	网
wjb	湾
wjc	惋
wjd	丸
wjg	玩
wji	完
wjj	碗
wjl	挽
wjm	蜿
wjn	顽
wjo	椀
wjp	弯
wjq	晚
wjr	烷
wjt	塆
wjv	腕
wjx	莞
wjy	皖
wjz	婉
woa	幄
wob	涡
wof	倭
wog	龌
woh	喔
woi	窝
woj	硪
wok	卧
wol	握
wom	蜗
wop	斡
wov	肟
wox	莴
woz	踒
wua	兀
wub	污
wuc	物
wud	误
wue	巫
wuf	舞
wug	珷
wuh	吴
wui	屋
wuj	勿
wuk	钨
wul	捂
wum	蜈
wun	武
wuo	梧
wup	毋
wuq	务
wur	戊
wus	婺
wut	坞
wuu	五
wuw	恶
wux	芜
wuy	乌
wuz	妩
wwa	帷
wwb	渭
wwc	惟
wwd	谓
wwe	围
wwf	位
wwg	玮
wwh	味
wwi	尾
wwj	维
wwo	桅
wwp	卫
wwq	韪
wwr	威
wws	危
wwt	圩
wwu	微
wwv	韦
www	委
wwx	薇
wwy	未
wwz	娓
xba	衅
xbc	心
xbd	歆
xbf	信
xbk	鑫
xbq	昕
xbr	炘
xbs	辛
xbt	馨
xbx	芯
xby	欣
xia	兮
xib	洗
xic	惜
xid	袭
xie	系
xif	僖
xig	翕
xih	吸
xii	犀
xij	细
xik	锡
xil	夕
xim	习
xin	希
xio	析
xip	隙
xiq	戏
xir	烯
xis	席
xit	喜
xiu	禧
xiv	膝
xiw	稀
xix	茜
xiy	息
xiz	媳
xka	饧
xkc	惺
xke	醒
xkg	兴
xkj	硎
xkk	行
xkl	擤
xkn	型
xko	杏
xkp	陉
xkq	星
xkr	煋
xkt	幸
xkv	腥
xkx	荥
xkz	姓
xla	向
xlb	湘
xlc	骧
xld	详
xle	项
xlf	像
xlg	珦
xlh	响
xli	翔
xlj	乡
xlk	镶
xll	象
xlm	巷
xln	襄
xlo	相
xlp	降
xlr	箱
xls	厢
xlu	享
xlw	香
xlx	芗
xma	馅
xmb	冼
xmc	霰
xmd	籼
xme	酰
xmf	仙
xmg	现
xmi	宪
xmj	线
xmk	衔
xml	掀
xmm	蚬
xmn	贤
xmo	弦
xmp	限
xmq	显
xmr	咸
xms	痫
xmt	县
xmu	祆
xmv	腺
xmw	闲
xmx	藓
xmy	鲜
xmz	嫌
xnb	消
xnc	霄
xnd	虓
xnf	翛
xng	肖
xnh	啸
xni	宵
xnj	硝
xnk	销
xnm	蛸
xnn	效
xno	枵
xnp	孝
xnq	晓
xnr	笑
xnv	猇
xnx	萧
xny	枭
xpa	血
xpb	泄
xpc	懈
xpd	谢
xpf	卸
xpg	些
xph	叶
xpi	屑
xpj	缬
xpl	携
xpm	鞋
xpn	亵
xpo	械
xpp	协
xpq	歇
xps	廨
xpt	颉
xpu	邪
xpv	胁
xpw	蟹
xpx	薤
xpz	躞
xqa	馐
xqb	溴
xqe	貅
xqf	休
xqg	琇
xqh	嗅
xqi	羞
xqj	绣
xqk	锈
xqm	䗛
xqn	髹
xqo	朽
xqs	庥
xqu	袖
xqw	秀
xqy	岫
xra	翾
xrb	渲
xrc	愃
xrd	谖
xre	轩
xrf	儇
xrg	璇
xrh	喧
xri	宣
xrj	绚
xrk	铉
xro	楦
xrq	眩
xrr	炫
xrs	旋
xrt	悬
xru	禤
xrv	玄
xrx	萱
xrz	嬛
xsb	汹
xsd	诇
xsh	兄
xsn	凶
xsp	雄
xss	夐
xsv	胸
xsw	匈
xsx	芎
xta	血
xtc	雪
xtd	谑
xtg	削
xth	噱
xti	穴
xtl	踅
xtm	靴
xtx	薛
xty	鳕
xua	虚
xub	溆
xuc	恤
xud	许
xue	须
xug	叙
xuh	嘘
xuj	续
xuk	胥
xuo	栩
xup	魆
xuq	煦
xur	戌
xus	序
xut	墟
xuu	徐
xuv	畜
xuw	勖
xux	蓄
xuz	絮
xxc	霞
xxe	辖
xxf	侠
xxg	瑕
xxh	吓
xxj	硖
xxm	虾
xxn	夏
xxo	遐
xxp	翈
xxq	瞎
xxr	黠
xxs	厦
xxv	狭
xxw	匣
xxy	峡
xxz	罅
xya	巡
xyb	汛
xyc	驯
xyd	训
xye	醺
xyg	珣
xyh	勋
xyj	𫄸
xyl	殉
xyn	逊
xyo	迅
xyq	寻
xyr	熏
xyt	埙
xyu	循
xyv	巽
xyw	旬
xyx	薰
xyy	鲟
yaa	丫
yab	涯
yad	讶
yae	轧
yaf	伢
yag	琊
yah	呀
yaj	砑
yak	衙
yal	押
yam	蚜
yao	桠
yap	鸭
yaq	睚
yar	氩
yas	压
yat	垭
yau	雅
yav	猰
yax	芽
yay	崖
yaz	娅
yba	饮
ybb	淫
ybc	愔
ybd	音
ybe	殷
ybg	龈
ybh	吟
ybi	寅
ybj	印
ybk	银
ybl	夤
ybm	鄞
ybo	引
ybp	阴
ybq	尹
ybr	氤
ybs	瘾
ybt	垠
ybu	禋
ybv	狺
ybw	訚
ybx	茵
yby	崟
ybz	姻
ycb	尧
ycd	谣
yce	夭
ycf	侥
ycg	耀
ych	咬
yci	窑
ycj	幺
yck	钥
ycl	摇
ycm	遥
ycn	肴
yco	杳
ycq	曜
ycs	疟
yct	垚
ycu	徭
ycv	腰
ycx	药
ycy	邀
ycz	姚
yea	爷
yeb	液
yed	谒
yee	耶
yef	倻
yeh	叶
yek	铘
yel	掖
yem	野
yeo	椰
yeq	晔
yer	烨
yes	靥
yev	夜
yew	业
yez	页
yhb	洋
yhc	怏
yhf	仰
yhg	玚
yhh	咉
yhi	养
yhk	羊
yhl	扬
yhm	鞅
yhn	飏
yho	杨
yhp	阳
yhq	旸
yhr	氧
yhs	痒
yht	垟
yhu	徉
yhw	央
yia	义
yib	溢
yic	忆
yid	意
yie	轶
yif	依
yig	以
yih	邑
yii	宜
yij	绎
yik	颐
yil	乙
yim	翼
yin	衣
yio	椅
yip	亦
yiq	易
yir	逸
yis	疫
yit	疑
yiu	役
yiv	已
yiw	医
yix	艺
yiy	屹
yiz	姨
yja	颜
yjb	演
yjc	验
yjd	言
yje	延
yjf	俨
yjg	琰
yjh	咽
yji	宴
yjj	研
yjk	衍
yjl	掩
yjm	燕
yjn	焉
yjo	檐
yjq	晏
yjr	炎
yjs	雁
yjt	盐
yjv	腌
yjw	严
yjx	芫
yjy	岩
yjz	妍
ykb	瀛
ykg	瑛
ykh	郢
ykj	硬
ykk	锳
ykl	撄
ykm	蝇
yko	樱
ykp	迎
ykq	影
yks	鹰
ykt	颖
ykv	盈
ykw	赢
ykx	英
ykz	婴
yoh	唷
yrb	源
yrc	𫘪
yre	园
yrg	瑗
yrh	员
yri	冤
yrj	缘
yrl	怨
yrm	螈
yrn	远
yro	橼
yrp	院
yrr	鸢
yrs	原
yrt	袁
yrv	猿
yrx	苑
yrz	媛
ysa	邕
ysb	涌
ysc	慵
ysf	佣
ysh	咏
ysk	镛
ysl	拥
ysm	蛹
yso	栐
ysq	颙
ysr	永
yss	庸
yst	勇
ysv	雍
ysy	鳙
ysz	踊
yta	粤
ytb	瀹
ytc	悦
ytd	乐
yte	𫐄
ytg	玥
yth	哕
ytj	约
ytk	钺
yto	樾
ytp	岳
ytq	曰
ytr	籥
ytv	刖
ytw	阅
ytz	越
yua	欲
yub	渔
yuc	雨
yud	语
yue	禹
yuf	毓
yug	玉
yuh	喻
yui	宇
yuj	纡
yuk	钰
yul	逾
yum	羽
yun	欤
yuo	榆
yup	郁
yuq	遇
yur	煜
yus	预
yut	域
yuu	御
yuv	育
yuw	于
yux	芋
yuy	鱼
yuz	娱
yya	赟
yyb	沄
yyc	恽
yyd	韵
yye	酝
yyh	郧
yyi	熨
yyj	纭
yyl	殒
yyn	运
yyp	陨
yyq	晕
yyr	筠
yyt	允
yyv	孕
yyw	匀
yyx	芸
yyz	妘
yza	猷
yzb	油
yzc	忧
yzd	尤
yze	酉
yzf	优
yzh	呦
yzi	宥
yzj	幼
yzk	铀
yzm	釉
yzn	牖
yzo	柚
yzp	由
yzr	黝
yzs	疣
yzu	祐
yzv	犹
yzx	莜
yzy	幽
zah	咋
zaj	砸
zal	扎
zav	臜
zaw	匝
zcb	澡
zcc	造
zcd	糟
zcg	璪
zch	噪
zcj	𥖨
zcn	遭
zcp	枣
zcq	蚤
zcr	燥
zcw	凿
zcx	藻
zcy	皂
zcz	躁
zda	甾
zdf	仔
zdi	灾
zdp	载
zdy	崽
zea	帻
zeb	泽
zee	舴
zef	迮
zeh	啧
zek	赜
zel	择
zeq	昃
zer	笮
zes	仄
zew	责
zfd	谮
zga	曾
zgc	憎
zgj	缯
zgk	锃
zgr	矰
zgz	赠
zhc	驵
zhn	奘
zhr	臧
zhx	葬
zhz	赃
zia	兹
zib	资
zid	籽
zie	辎
zif	仔
zig	紫
zih	吱
zii	字
zij	缁
zik	锱
zim	虸
zin	子
zio	梓
ziq	眦
zir	笫
ziw	秭
zix	茈
ziy	鲻
ziz	姊
zjc	酂
zjd	糌
zje	暂
zjg	瓒
zjh	咱
zji	寁
zjl	攒
zjq	昝
zjr	簪
zjz	趱
zoc	怍
zoe	酢
zof	作
zog	坐
zoh	唑
zol	撮
zoo	柞
zop	左
zoq	昨
zor	笮
zos	座
zou	祚
zov	胙
zoy	岞
zrj	缵
zrl	攥
zrr	纂
zrz	躜
zsd	粽
zsf	倧
zsi	宗
zsj	综
zsn	鬃
zso	棕
zss	疭
zsv	腙
zsz	踪
zud	诅
zug	俎
zuk	镞
zup	阻
zus	族
zuu	祖
zuv	卒
zuw	租
zux	菹
zuy	崒
zuz	足
zva	罪
zve	醉
zvh	嘴
zvo	槜
zvx	蕞
zwy	鲗
zya	遵
zyf	僔
zyh	噂
zyk	𨱔
zyl	撙
zyo	樽
zyy	鳟
zzc	驺
zzd	诹
zze	鄹
zzi	奏
zzl	揍
zzp	陬
zzy	邹
aaha	吖
aahy	啊
aaky	锕
aapy	阿
aavp	腌
ahpp	卬
ahqp	昂
ahvn	肮
ahwa	盎
aicw	霭
aigq	瑷
aiha	嗌
aihn	哎
aihq	嗳
aihr	唉
aijn	砹
aijy	碍
aikh	锿
ailr	挨
aimq	爱
ainh	哀
ainq	叆
aipa	隘
aiqq	暧
airz	矮
aisy	癌
aitg	欸
aitp	毐
aitr	埃
aixn	艾
aixw	蔼
aiyv	皑
aizq	嫒
andd	谙
anfp	俺
anhp	唵
anio	案
aniz	安
ankz	铵
anlz	按
anmz	鞍
anny	鹌
anoz	桉
anqd	暗
anrd	黯
anrz	氨
ansp	庵
antp	埯
antz	垵
anvw	犴
anvz	胺
anyw	岸
anyz	𩽾
anza	盦
aoan	奥
aoan	凹
aobn	澳
aocn	懊
aoey	岙
aofq	傲
aogq	璈
aohq	嗷
aokk	鏖
aolp	拗
aona	奡
aopn	隩
aosq	廒
aotp	坳
aoun	袄
aowc	骜
aowe	聱
aowk	鏊
aowm	螯
aown	獒
aowp	遨
aowq	敖
aowr	熬
aowy	鳌
aowy	嶅
aoxn	薁
aoym	翱
aoza	媪
baaa	八
baat	罢
baav	爸
babv	灞
bacv	霸
badv	粑
baha	叭
bahv	吧
baiv	羓
bakv	钯
bala	扒
bala	拔
bals	捌
balv	把
bamv	蚆
bamv	靶
banv	耙
baoa	朳
bapa	魃
barv	笆
basv	疤
batz	坝
bava	胈
bavv	巴
baxa	菝
baxv	芭
baya	鲅
bayv	鲃
bayv	岜
baza	妭
baza	跋
bbag	斌
bbap	邠
bbba	滨
bbbz	濒
bbfa	傧
bbgs	玢
bbia	宾
bbja	缤
bbka	镔
bbla	摈
bbla	殡
bbna	鬓
bboa	槟
bboe	彬
bbua	髌
bbva	膑
bbye	豳
bcav	饱
bcbs	瀑
bccv	雹
bcea	豹
bcfo	保
bcfr	煲
bcft	堡
bcgv	龅
bcig	宝
bclq	报
bclv	抱
bcno	褒
bcnv	孢
bcov	枹
bcqs	曝
bcqs	剥
bcrs	爆
bcrv	炮
bcss	暴
bcty	鸨
bcuo	褓
bcvv	胞
bcws	刨
bcwv	包
bcxo	葆
bcxv	苞
bcxy	薄
bcyv	鲍
bcza	趵
bdfy	伯
bdfy	佰
bdil	掰
bdiw	拜
bdlp	捭
bdlt	摆
bdny	百
bdoy	柏
bdwp	稗
bdyy	白
bdzq	败
bfat	坌
bfcc	犇
bffx	倴
bfkx	锛
bfnx	奔
bfon	本
bfox	栟
bfpz	贲
bfrn	笨
bftp	畚
bfxn	苯
bgap	迸
bggl	琫
bghv	嘣
bgjb	泵
bgjv	绷
bgkv	镚
bgmw	蚌
bgnl	甭
bgtl	甏
bgus	祊
bgyv	崩
bgzv	蹦
bhba	浜
bhds	谤
bhfs	傍
bhgw	玤
bhhp	𠳐
bhjp	绑
bhjs	磅
bhks	镑
bhls	搒
bhmw	蚌
bhna	帮
bhnp	邦
bhol	棒
bhop	梆
bhos	榜
bhts	塝
bhvs	膀
bhxs	蒡
biaq	敝
biax	弊
biba	濞
bibc	泌
bibm	滗
bibt	沘
bicc	必
bicp	邲
bicq	愎
bide	诐
biea	币
biet	舭
bifc	佖
bifp	俾
bigc	珌
bigj	碧
bihc	咇
bihp	哔
bihp	鄙
biht	吡
biig	璧
biin	襞
biip	避
biis	辟
biit	壁
biiv	臂
biiz	嬖
bikc	铋
binp	逼
biny	皕
bioo	弼
bipa	畀
bipt	陛
bira	箅
birm	笔
birp	筚
birt	篦
birw	觱
bisa	痹
bisp	庳
bist	庇
bitc	毖
bitp	毕
bitt	毙
bitt	匕
bitt	坒
bitt	比
biue	彼
biup	裨
biup	髀
bivt	狴
biwc	秘
biwc	馝
biwt	秕
biwy	闭
bixc	苾
bixn	荸
bixp	荜
bixp	萆
bixq	蔽
bixs	薜
bixt	芘
bixt	蓖
biya	鼻
biyp	鲾
bizp	跸
bizp	婢
bizt	妣
bizz	赑
bjak	𨭉
bjal	半
bjaq	攽
bjaz	颁
bjbw	湴
bjet	般
bjfl	伴
bjga	斑
bjgs	班
bjjl	绊
bjkq	钣
bjll	拌
bjlq	扳
bjls	扮
bjlt	搬
bjml	靽
bjnq	版
bjol	柈
bjoq	板
bjpp	办
bjpq	阪
bjqq	昄
bjsa	癍
bjsm	瓣
bjst	瘢
bjtq	坂
bkax	并
bkax	饼
bkbb	冰
bkee	秉
bkix	屏
bklx	摒
bkmg	蛃
bkng	丙
bknp	邴
bkoa	槟
bkog	柄
bkpa	兵
bkqg	昺
bkrg	炳
bksg	病
bkvy	禀
bmba	汴
bmca	忭
bmfn	便
bmip	遍
bmix	扁
bmjx	砭
bmjx	碥
bmjx	编
bmla	抃
bmmn	鞭
bmmx	蝙
bmpp	边
bmpq	变
bmqx	昪
bmrp	笾
bmrx	煸
bmsd	辩
bmsj	辫
bmss	辨
bmtp	𨚕
bmtx	弁
bmux	褊
bmva	卞
bmwx	匾
bmxa	苄
bmxx	萹
bmyx	鳊
bmzx	贬
bnae	彪
bnay	幖
bnbr	瀌
bncc	骉
bncy	骠
bnfn	俵
bnfr	儦
bnkr	镳
bnky	镖
bnly	摽
bnnn	飙
bnnv	飑
bnoa	杓
bnoy	标
bnry	熛
bnsy	瘭
bnun	裱
bnvn	脿
bnvy	膘
bnwn	表
bnxr	藨
bnyy	鳔
bnzn	婊
boaa	卜
boan	饽
bobe	波
bobn	浡
bobp	渤
boby	泊
bocn	驳
boey	舶
bofy	伯
boge	玻
bohe	啵
bohn	哱
boil	擘
boio	檗
bojn	砵
bojy	礴
boka	钹
boke	𬭛
bokn	钵
boky	铂
boky	镈
bolp	播
bolq	拨
boly	搏
boon	桲
booy	欂
booy	柏
bopg	僰
bopp	勃
bopy	鹁
bopy	博
boqs	剥
bore	簸
bory	箔
botv	艴
bouq	袯
bout	亳
bovn	脖
bovy	膊
bown	馞
boxe	菠
boxp	蕃
boxy	薄
boya	帛
boyp	嶓
boyy	鲌
boze	跛
bozh	踣
bpac	憋
bpay	鳖
bpaz	蹩
bphs	别
bpst	瘪
bpyo	癿
buaa	卜
bual	瓿
buap	部
buca	怖
buei	醭
buft	堡
buge	步
buha	卟
buhq	哺
buka	钚
bulq	捕
buna	不
bupa	布
buqp	逋
buqq	晡
buqy	𬷕
bury	簿
bute	埗
butp	埠
butq	埔
buua	补
buxp	蔀
bwbz	𬇙
bwcn	悖
bwdl	糒
bwfh	倍
bwgn	琲
bwhz	呗
bwik	鐾
bwiv	臂
bwjh	碚
bwjp	碑
bwkz	钡
bwme	鞁
bwml	鞴
bwnc	悲
bwne	辈
bwnp	邶
bwnt	北
bwnv	背
bwoa	杯
bwoh	棓
bwop	椑
bwpn	孛
bwqc	惫
bwqp	备
bwrh	焙
bwue	被
bwuv	褙
bwvz	狈
bwxh	蓓
bwyp	卑
bwyy	鹎
bwzz	贝
cahy	嚓
caly	擦
ccbq	漕
ccdp	糙
cceq	艚
cchq	嘈
ccjq	𥕢
cclo	操
ccmq	螬
ccnq	曹
ccoq	槽
ccxp	草
cdfc	偲
cdme	彩
cdmm	采
cdoy	材
cdpn	裁
cdqm	睬
cdvv	猜
cdxm	菜
cdxy	蔡
cdyy	才
cdzm	踩
cdzy	财
cebs	测
cecs	恻
cefs	侧
cenn	册
cerp	策
cess	厕
cfbz	涔
cfte	参
cfyz	岑
cgaq	曾
cghq	噌
cgit	层
cgyq	嶒
cgzq	蹭
chbv	沧
chev	舱
chfv	伧
chgv	仓
chgy	鸧
chxk	藏
chxv	苍
ciac	慈
ciaj	兹
ciay	鹚
cibg	次
cibl	瓷
cibt	泚
cidh	词
cidj	糍
cifg	佽
cifh	伺
cigg	雌
cigt	玼
cigt	此
cigy	𫚖
ciht	呲
ciie	差
cijj	磁
cips	刺
cist	疵
ciuh	祠
ciws	辞
cixg	茨
cixs	莿
cixt	茈
cizj	赐
cizt	跐
cjce	骖
cjce	惨
cjcy	惭
cjgd	璨
cjlc	餐
cjld	粲
cjlr	残
cjnm	蚕
cjre	黪
cjry	灿
cjte	参
cjwe	䅟
coae	鹾
coge	瑳
coje	磋
cokq	错
cokt	锉
cole	搓
colq	撮
colq	措
colt	挫
cooq	棤
cort	矬
cosq	厝
cost	痤
covt	脞
coxt	莝
coye	嵯
coze	蹉
crer	爨
crgb	汆
cria	窜
crka	镩
crla	撺
crlz	攒
crrt	篡
crza	蹿
csaa	囱
csby	淙
cscc	骢
cscy	悰
csec	聪
csgc	璁
csgg	从
csgn	丛
csgy	琮
csja	匆
csog	枞
csrc	熜
csxc	葱
csxg	苁
cudt	粗
cueq	醋
cufz	促
cult	殂
curr	簇
curz	蹙
cuut	徂
cuvp	卒
cuvp	猝
cuxr	蔟
cuzd	蹴
cvbg	漼
cvbp	淬
cvcp	悴
cvdp	粹
cvfg	催
cvgg	璀
cvhp	啐
cvjn	缞
cvlg	摧
cvmm	毳
cvmp	翠
cvon	榱
cvsp	瘁
cvvv	脆
cvxp	萃
cvyg	崔
cycy	忖
cynp	邨
cyoy	村
cypn	存
cyte	皴
cyyy	寸
czbn	凑
czen	辏
czvn	腠
dabh	溚
dabq	沓
dacn	怛
dahh	嗒
dahp	哒
dajp	鿎
dakh	𨱏
dakp	𫟼
dalh	搭
daly	打
damn	靼
damp	鞑
dane	耷
dann	大
danp	达
darh	答
darn	笪
darn	炟
dash	瘩
datp	垯
dauh	褡
daxp	荙
dazn	妲
dazp	跶
dcap	道
dcay	帱
dcba	盗
dccp	悼
dccs	忉
dces	舠
dcfs	倒
dchs	叨
dcls	捯
dcly	捣
dcra	氘
dcss	刀
dcuy	祷
dcvy	导
dcwj	纛
dcwy	稻
dcys	鱽
dcys	到
dcyy	岛
dczy	蹈
ddch	骀
dden	轪
ddfb	傣
ddfn	袋
ddfr	黛
ddfr	代
ddft	垈
ddfy	岱
ddfz	贷
ddgr	玳
ddhn	呔
ddho	呆
ddjh	绐
ddlh	殆
ddll	歹
ddnn	大
ddnp	叇
ddpa	戴
ddqp	逮
ddtb	埭
ddtc	怠
ddtp	迨
dduy	待
ddxa	带
dehy	嘚
deky	锝
deti	地
deuc	德
deuy	得
deya	的
dflo	扽
dgbn	澄
dggn	璒
dghn	噔
dgjn	磴
dgkn	镫
dgln	凳
dgln	登
dgqn	瞪
dgqp	邓
dgqr	戥
dgry	等
dgry	灯
dgyn	嶝
dgzn	蹬
dhbg	𬍡
dhbw	凼
dhda	谠
dhgq	当
dhgq	珰
dhia	党
dhij	宕
dhjj	砀
dhkq	铛
dhlq	挡
dhoa	𣗋
dhoq	档
dhrq	筜
dhtq	垱
dhuq	裆
dhxj	菪
dhxj	荡
diaa	弟
diap	递
dibg	涤
dibz	滴
dida	谛
didk	诋
difk	低
diga	玓
diga	𤧛
digd	籴
dihz	嘀
diia	帝
diik	羝
dija	碲
dija	䃅
dija	缔
dijk	砥
dikk	氐
dikp	邸
dikz	镝
dilk	提
dilk	抵
dima	䗖
dimg	翟
dimk	鞮
dini	髢
diob	棣
diok	柢
dion	杕
dipp	迪
dipz	𬱖
dipz	觌
diqa	睇
dira	第
dirp	笛
disk	底
diti	地
ditk	坻
ditk	堤
diua	禘
diuk	骶
divr	狄
diwq	敌
dixa	菂
dixa	蒂
dixk	茋
dixr	荻
diya	的
diza	娣
diza	媂
dizk	踶
dizz	蹢
dizz	嫡
djaa	单
djap	郸
djbd	澹
djbr	淡
djca	惮
djcd	憺
djdp	诞
djea	耽
djen	聃
djfa	𫢸
djfd	儋
djfn	但
djhr	啖
djja	𬘘
djjj	石
djkm	蛋
djkn	疍
djla	掸
djla	殚
djln	担
djnv	丹
djoa	弹
djqa	眈
djqn	旦
djra	箪
djrr	氮
djsa	瘅
djsn	疸
djvn	亶
djvn	膻
djvn	胆
djxy	萏
djzr	赕
dkdy	订
dkey	耵
dkey	酊
dkfy	仃
dkgy	玎
dkhk	啶
dkhy	叮
dkik	定
dkjk	碇
dkkk	锭
dkky	钉
dkpy	町
dkqo	鼎
dkqy	盯
dksy	疔
dkvk	腚
dkxk	萣
dkyy	丁
dkyz	顶
dman	奠
dmar	点
dmba	滇
dmbk	淀
dmch	惦
dmfp	佃
dmgh	玷
dmgk	琔
dmih	扂
dmit	殿
dmja	碘
dmkp	钿
dmlh	掂
dmlt	垫
dmph	阽
dmpp	电
dmpz	颠
dmrp	簟
dmsh	店
dmst	癜
dmsz	癫
dmth	坫
dmwa	典
dmwk	靛
dmwp	甸
dmyz	巅
dmzh	踮
dnbh	凋
dnbn	汈
dndh	调
dneh	貂
dnha	吊
dnhn	叼
dniy	窎
dnjh	碉
dnka	铫
dnka	铞
dnka	钓
dnlp	掉
dnng	雕
dnon	刁
dnyh	鲷
doao	躲
doay	饳
docn	驮
docv	惰
doet	舵
dohl	哆
doho	哚
dohy	咄
dokl	铎
doll	多
dolq	掇
dono	朵
dons	剁
dony	夺
dopt	堕
doqs	剟
dosq	度
dotn	埵
doto	垛
dotq	㙍
doua	亸
douq	裰
dozo	跺
dozq	踱
dpal	爹
dpdo	谍
dpho	喋
dpjo	碟
dpjy	绖
dpmo	蝶
dpmr	瓞
dpno	牒
dpoo	楪
dppy	耋
dpqr	昳
dpqt	叠
dprp	迭
dpto	堞
dpty	垤
dpya	𫶇
dpyo	鲽
dpzo	蹀
dpzr	跌
dqkt	铥
dqtt	丢
drac	端
drdy	断
dret	段
drgt	瑖
drjt	缎
drkt	锻
drot	椴
drrn	短
drrt	煅
drry	簖
drtt	塅
dryc	耑
dsbe	冻
dsbh	洞
dsch	恫
dscm	懂
dsee	东
dsey	鸫
dsfh	侗
dsha	咚
dsjh	硐
dsme	𬟽
dsnp	动
dsoe	栋
dsqa	冬
dsra	氡
dsth	垌
dsve	胨
dsvh	胴
dsxm	董
dsye	岽
dsyh	峒
duaq	督
dubn	渎
dubq	渡
ducn	犊
dudn	读
duhp	嘟
duim	蠹
dukq	镀
dukt	𬭊
dunn	牍
duon	椟
duot	厾
duot	杜
dupp	都
duqq	睹
durc	笃
durn	黩
dusq	度
dutq	堵
duum	髑
duvm	独
duvt	肚
duwp	毒
duwq	阇
duxt	芏
duzi	妒
duzq	赌
dvaa	兑
dvjg	碓
dvpg	队
dvqc	怼
dvqy	对
dvtg	堆
dvut	祋
dwhy	嘚
dwuy	得
dxhl	嗲
dybo	沌
dycn	惇
dyeo	囤
dyep	遁
dyeq	盾
dyho	吨
dyjo	砘
dyjq	礅
dyko	钝
dykq	镦
dynz	顿
dynz	趸
dyqo	盹
dyro	炖
dytq	墩
dyuq	敦
dyzq	蹾
dyzy	蹲
dzap	斗
dzdn	读
dzin	窦
dzkp	钭
dzlp	抖
dzmp	蚪
dznn	豆
dznp	逗
dzpp	都
dzpz	陡
dzra	篼
dzsn	痘
dzxa	蔸
dzya	兜
eear	饿
eebr	涐
eeco	愕
eedo	谔
eedt	讹
eeev	轭
eeey	鹅
eefr	俄
eegh	噩
eehc	𫫇
eehp	鄂
eehr	哦
eehv	呃
eehy	鹗
eehz	颚
eeiy	屙
eeiz	额
eejo	𥔲
eeko	锷
eekr	锇
eelv	扼
eemr	蛾
eepy	阿
eeqp	遏
eesv	厄
eetw	堨
eevo	腭
eewc	恶
eewt	垩
eexo	萼
eexr	莪
eexv	苊
eeyo	崿
eeyo	鳄
eeyr	峨
eezh	姶
eezr	娥
eezy	婀
eitg	欸
enec	恩
enlc	摁
enxc	蒽
eraa	儿
erae	饵
erbe	洱
ercc	而
erce	耏
ercy	鸸
eree	耳
erge	珥
erhe	咡
erke	铒
ernn	二
erpc	陑
errz	贰
ersg	尔
ersp	迩
eryc	鲕
faas	罚
fabt	法
faex	乏
fafr	伐
faft	垡
fagt	珐
fajt	砝
faoq	发
farr	筏
fawr	阀
ffac	忿
ffas	分
ffba	瀵
ffbs	汾
ffbz	𣸣
ffcz	愤
ffda	粪
ffds	粉
ffes	酚
ffez	豮
fffs	份
fffz	偾
ffgs	玢
ffhs	吩
ffjs	纷
ffms	翂
ffnp	奋
ffor	焚
ffos	棼
ffrs	氛
ffta	坟
ffts	坋
ffxo	棻
ffxs	芬
ffys	鼢
ffyz	鲼
fgbc	冯
fgbn	沨
fgbw	沣
fgbw	浲
fgdn	讽
fgfl	俸
fghl	唪
fgil	奉
fgjn	砜
fgjp	缝
fgkw	锋
fgmw	蜂
fgnn	风
fgnq	凤
fgon	枫
fgqp	逢
fgrw	烽
fgsn	疯
fgty	封
fgww	丰
fgxy	葑
fgyp	酆
fgyw	峰
fgyy	崶
fgzq	赗
fhcs	牥
fhds	访
fhes	舫
fhfs	仿
fhis	房
fhjs	纺
fhks	钫
fhms	蚄
fhos	枋
fhps	防
fhqs	昉
fhsp	邡
fhsq	放
fhss	方
fhts	坊
fhvs	肪
fhxs	芳
fhys	鲂
fhzs	妨
fjan	帆
fjap	幡
fjaq	饭
fjbv	氾
fjbx	泛
fjep	返
fjeq	反
fjfj	繁
fjgp	璠
fjjn	矾
fjkn	钒
fjkp	𫔍
fjmm	翻
fjmp	番
fjmy	𬸪
fjnn	凡
fjon	梵
fjon	樊
fjpq	畈
fjrp	燔
fjrz	烦
fjtp	墦
fjvv	犯
fjxj	蘩
fjxp	藩
fjxv	范
fjzp	蹯
fjzq	贩
foft	佛
fuaa	罘
fuai	幞
fuak	釜
fuan	父
fuap	幅
fuay	斧
fubh	涪
fubk	滏
fubn	洑
fubn	㳇
fubn	浮
fubz	𫖯
fucg	驸
fuct	怫
fuda	讣
fuep	辐
fueq	覆
fueq	辅
fufg	俯
fufn	伏
fufn	俘
fufq	复
fuft	佛
fufy	傅
fugg	付
fugn	琈
fugn	玞
fuhg	咐
fuhn	㕮
fuhn	呋
fuic	宓
fuip	富
fuja	绂
fujn	砆
fujn	孵
fujt	绋
fujy	缚
fukn	𫓧
fukp	鄜
fulg	抚
fulg	拊
fuln	扶
fult	拂
fumn	蜉
fumn	蚨
fumn	孚
fump	蝠
fump	郛
fumq	蝮
funn	夫
funs	副
fuon	桴
fuop	阜
fuoy	榑
fupg	附
fuqq	甫
fuqq	敷
fura	簠
furg	符
