词	简码	候选位	级别
快速行动	ksxd	1	4
口似悬河	ksxh	1	4
快速响应	ksxy	1	4
快速眼动	ksyd	1	4
客似云来	ksyl	1	4
开头	kt	1	2
空调病	ktb	1	3
开题报告	ktbg	1	4
课堂笔记	ktbj	1	4
口吐白沫	ktbm	1	4
看透不说透	ktbt	1	4
看他不顺眼	ktby	1	4
可替代	ktd	1	3
可推断	ktd	2	3
卡塔尔	kte	1	3
口吐芬芳	ktff	1	4
可通过	ktg	1	3
可提供	ktg	2	3
客套话	kth	1	3
口头禅	kti	1	3
开天窗	kti	2	3
空调车	kti	3	3
课题成果	ktig	1	4
空条承太郎	ktil	1	4
课题经费	ktjf	1	4
课堂纪律	ktjl	2	4
开拓精神	ktju	1	4
开头结尾	ktjw	1	4
客套客套	ktkt	1	4
客厅里	ktl	1	3
开通了	ktl	2	3
口吐莲花	ktlh	1	4
卡秃噜皮	ktlp	1	4
枯藤老树	ktlu	1	4
课堂练习	ktlx	1	4
开头难	ktn	1	3
卡通片	ktp	1	3
捆腿跑	ktp	2	3
开天辟地	ktpd	2	4
磕头碰脑	ktpn	1	4
慷他人之慨	ktrk	1	4
开通热线	ktrx	1	4
口吐人言	ktry	1	4
阔太太	ktt	1	3
看图填空	kttk	1	4
口头通知	kttv	1	4
课堂提问	kttw	1	4
口头上	ktu	1	3
课题申报	ktub	1	4
看图说话	ktuh	1	4
开拓市场	ktui	1	4
开庭审理	ktul	1	4
开拓视野	ktuy	1	4
看图识字	ktuz	1	4
开拓者	ktv	1	3
口吐珠玑	ktvj	1	4
空天战机	ktvj	2	4
空谈误国	ktwg	1	4
看图写话	ktxh	1	4
课题项目	ktxm	1	4
口吐鲜血	ktxx	1	4
口头协议	ktxy	1	4
口头语	kty	1	3
看透一切	ktyq	1	4
开脱罪责	ktzz	1	4
可是	ku	2	2
开始	ku	3	2
开始按钮	kuan	1	4
考试安排	kuap	1	4
开始吧	kub	1	3
考试必过	kubg	1	4
口授笔录	kubl	1	4
考试报名	kubm	2	4
看山不是山	kubu	1	4
开始表演	kuby	2	4
开始菜单	kucd	2	4
空手道	kud	1	3
跨时代	kud	2	3
困兽斗	kud	3	3
考试地点	kudd	3	4
考试大纲	kudg	2	4
快手抖音	kudy	1	4
空手而回	kueh	2	4
康师傅	kuf	1	3
课时费	kuf	2	3
考试辅导	kufd	1	4
考试分数	kufu	1	4
考试范围	kufw	1	4
口水歌	kug	1	3
可视化	kuh	2	3
考试合格	kuhg	1	4
开始慌了	kuhl	2	4
看山还是山	kuhu	1	4
瞌睡虫	kui	2	3
可生产	kui	3	3
考试成绩	kuij	1	4
跨世纪	kuj	2	3
考试卷	kuj	3	3
开始阶段	kujd	1	4
枯水季节	kujj	1	4
考试机器	kujq	2	4
空手接白刃	kujr	1	4
开始进入	kujr	2	4
枯树开花	kukh	1	4
考试科目	kukm	1	4
叩石垦壤	kukr	1	4
开始了	kul	1	3
抗衰老	kul	2	3
看傻了眼	kuly	2	4
开山老祖	kulz	2	4
看什么	kum	1	3
开始明白	kumb	1	4
可数名词	kumc	1	4
可是没有	kumy	1	4
可是那	kun	2	3
看上你	kun	3	3
酷暑难当	kund	1	4
恪守女德	kund	2	4
恪守男德	kund	3	4
看上你了	kunl	1	4
看视频	kup	1	3
开视频	kup	2	3
瞌睡碰到枕头	kupt	1	4
昆山片玉	kupy	1	4
扣屎盆子	kupz	1	4
看上去	kuq	1	3
开始前	kuq	2	3
孔圣人	kur	1	3
可是如果	kurg	1	4
考试日期	kurq	1	4
看守所	kus	1	3
抗生素	kus	2	3
看上他	kut	1	3
看上她	kut	2	3
考试题	kut	3	3
开始同步	kutb	1	4
空手套白狼	kutl	1	4
看上他了	kutl	2	4
看上她了	kutl	3	4
开始时	kuu	2	3
可说是	kuu	3	3
考试说明	kuum	1	4
开始使用	kuuy	1	4
可是这	kuv	1	3
口水仗	kuv	2	3
口舌之便	kuvb	1	4
可是这个	kuvg	1	4
开设账户	kuvh	1	4
口舌之快	kuvk	1	4
口舌之利	kuvl	2	4
考试指南	kuvn	1	4
科室主任	kuvr	1	4
开始着手	kuvu	2	4
开始执行	kuvx	1	4
可是这些	kuvx	2	4
开山之作	kuvz	1	4
开山之祖	kuvz	2	4
看上我	kuw	1	3
看上我了	kuwl	1	4
可是我们	kuwm	1	4
开始行动	kuxd	1	4
可是现在	kuxz	1	4
看傻眼	kuy	1	3
开始吟唱	kuyi	2	4
看傻眼了	kuyl	1	4
昆山玉碎	kuys	1	4
开始游戏	kuyx	1	4
可是又有	kuyy	2	4
考试作弊	kuzb	1	4
控制	kv	2	2
看着	kv	3	2
看着办	kvb	2	3
控制变量法	kvbf	3	4
控制不住自己	kvbj	1	4
控制不了	kvbl	1	4
控制变量	kvbl	2	4
控制病情	kvbq	1	4
空中巴士	kvbu	2	4
控制不住	kvbv	1	4
克制不住	kvbv	2	4
抗旨不遵	kvbz	2	4
抗旨不尊	kvbz	3	4
扩展槽	kvc	2	3
可知道	kvd	2	3
柯震东	kvd	3	3
铠装电缆	kvdl	1	4
看着都疼	kvdt	1	4
空中飞人	kvfr	1	4
控制杆	kvg	1	3
看着锅里的	kvgd	1	4
控制工程	kvgi	1	4
看着锅里	kvgl	1	4
空中管制	kvgv	1	4
客制化	kvh	2	3
开展活动	kvhd	1	4
空中花园	kvhy	1	4
控制成本	kvib	1	4
开张吃三年	kvin	1	4
控制键	kvj	1	3
空中加油	kvjy	2	4
扩展卡	kvk	1	3
控制开关	kvkg	1	4
哭着哭着就笑了	kvkl	1	4
看这看那	kvkn	1	4
控制力	kvl	2	3
控制论	kvl	3	3
开证明	kvm	2	3
扩展名	kvm	3	3
苛政猛于虎	kvmh	1	4
孔仲尼	kvn	2	3
控制权	kvq	2	3
控制器	kvq	3	3
控制区	kvq	4	3
科主任	kvr	2	3
控制人口	kvrk	2	4
开枝散叶	kvsy	2	4
控制台	kvt	2	3
控制室	kvu	1	3
哭着说	kvu	2	3
哭着说道	kvud	1	4
看着舒服	kvuf	1	4
夸张手法	kvuf	2	4
抗战胜利	kvul	1	4
抗战时期	kvuq	1	4
控制住	kvv	1	3
空中转体	kvvt	1	4
控制中心	kvvx	1	4
扩展坞	kvw	2	3
扩展性	kvx	2	3
控制线	kvx	3	3
控制箱	kvx	4	3
开展宣传	kvxi	1	4
可执行文件	kvxj	2	4
空中巡逻	kvxl	1	4
控制芯片	kvxp	1	4
宽窄巷子	kvxz	2	4
控制欲	kvy	2	3
课桌椅	kvy	3	3
苦中有乐	kvyl	1	4
控制原理	kvyl	2	4
苦中有甜	kvyt	1	4
看着眼熟	kvyu	1	4
控制饮食	kvyu	2	4
开展业务	kvyw	1	4
可追踪	kvz	2	3
看完	kw	2	2
渴望	kw	3	2
可望不可即	kwbj	1	4
可望不可及	kwbj	2	4
开胃菜	kwc	1	3
口味独特	kwdt	1	4
看我动态	kwdt	2	4
课外读物	kwdw	1	4
可望而不可即	kwej	1	4
可望而不可及	kwej	2	4
课外辅导	kwfd	1	4
开完会	kwh	1	3
快问快答	kwkd	1	4
快完了	kwl	1	3
苦无良策	kwlc	1	4
课外练习	kwlx	1	4
苦味酸	kws	1	3
看问题	kwt	1	3
可谓是	kwu	1	3
考完试	kwu	2	3
课外书	kwu	3	3
口吻生花	kwuh	1	4
开胃生津	kwuj	1	4
矿物质	kwv	1	3
空位置	kwv	2	3
口味重	kwv	3	3
看望慰问	kwww	1	4
开玩笑	kwx	1	3
可玩性	kwx	2	3
开胃小菜	kwxc	1	4
开玩笑的	kwxd	1	4
卡哇伊	kwy	1	3
渴望已久	kwyj	1	4
看我眼色	kwys	1	4
看我眼色行事	kwyu	1	4
口歪眼斜	kwyx	1	4
酷我音乐	kwyy	1	4
口味一样	kwyy	2	4
口歪嘴斜	kwzx	1	4
课外作业	kwzy	1	4
可惜	kx	2	2
开心	kx	3	2
开学报道	kxbd	2	4
可惜不是你	kxbn	1	4
可惜不是	kxbu	2	4
空心菜	kxc	1	3
可信度	kxd	1	3
科学道理	kxdl	2	4
可笑的是	kxdu	2	4
可惜的是	kxdu	3	4
开心的笑	kxdx	1	4
可想而之	kxev	2	4
可行方案	kxfa	1	4
科学方法	kxff	1	4
科学发展观	kxfg	1	4
科学发明	kxfm	1	4
科学发展	kxfv	1	4
科学发现	kxfx	2	4
开心果	kxg	1	3
科学规范	kxgf	1	4
科学高峰	kxgf	2	4
科学根据	kxgj	1	4
科学顾问	kxgw	1	4
看笑话	kxh	1	3
开先河	kxh	2	3
看小孩	kxh	3	3
开小差	kxi	1	3
科学成果	kxig	1	4
科学家	kxj	1	3
科学界	kxj	2	3
开心就好	kxjh	1	4
空虚寂寞	kxjm	1	4
科学计算	kxjs	1	4
科学技术大学	kxjx	1	4
开箱即用	kxjy	2	4
跨学科	kxk	1	3
可喜可贺	kxkh	1	4
科学考察	kxki	1	4
可惜了	kxl	2	3
可信赖	kxl	3	3
空心萝卜	kxlb	1	4
科学论断	kxld	1	4
科学理论	kxll	2	4
科学论证	kxlv	1	4
科学论文	kxlw	1	4
凯旋门	kxm	1	3
可惜没如果	kxmg	1	4
开心麻花	kxmh	1	4
卡西欧	kxo	1	3
科学普及	kxpj	1	4
看下去	kxq	1	3
狂想曲	kxq	2	3
扩胸器	kxq	3	3
可信任	kxr	1	3
苦行僧	kxs	1	3
开心死了	kxsl	1	4
科学思想	kxsx	1	4
口香糖	kxt	2	3
科学态度	kxtd	2	4
科学探索	kxts	1	4
口嫌体正直	kxtv	1	4
空心汤圆	kxty	1	4
亏心事	kxu	1	3
看小说	kxu	2	3
空闲时间	kxuj	1	4
科学实践	kxuj	2	4
胯下受辱	kxur	1	4
跨下受辱	kxur	2	4
科学上网	kxuw	1	4
科学试验	kxuy	2	4
空心砖	kxv	2	3
可喜之处	kxvi	1	4
可笑之极	kxvj	1	4
科学证明	kxvm	1	4
科学之母	kxvm	2	4
开学之前	kxvq	1	4
科学种田	kxvt	1	4
科学著作	kxvz	1	4
科学无国界	kxwj	1	4
科学文献	kxwx	1	4
可行性	kxx	1	3
快醒醒	kxx	2	3
可信性	kxx	3	3
科学院	kxy	1	3
空喜一场	kxyi	1	4
开心一刻	kxyk	1	4
胯下一凉	kxyl	1	4
科学仪器	kxyq	1	4
科学有效	kxyx	1	4
开小灶	kxz	2	3
可选择	kxz	3	3
开小灶了	kxzl	1	4
可以	ky	2	2
快要	ky	3	2
可以啊	kya	1	3
可以吧	kyb	1	3
可以把	kyb	2	3
可以不	kyb	3	3
看一遍	kyb	4	3
快一步	kyb	5	3
窥一斑而知全豹	kybb	1	4
口语表达	kybd	2	4
考研必过	kybg	1	4
抗压背锅	kybg	2	4
看也不看	kybk	1	4
科研部门	kybm	2	4
可遇不可求	kybq	1	4
可以不用	kyby	1	4
可以不要	kyby	2	4
可一不可再	kybz	1	4
快一点	kyd	1	3
裤腰带	kyd	2	3
可移动	kyd	3	3
可以得到	kydd	1	4
可以达到	kydd	2	4
可以的话	kydh	1	4
开业典礼	kydl	1	4
可移动磁盘	kydp	1	4
可以断言	kydy	2	4
可遇而不可求	kyeq	1	4
可以分	kyf	1	3
开药方	kyf	2	3
可预付	kyf	3	3
可以发挥	kyfh	1	4
可以发现	kyfx	1	4
可疑分子	kyfz	1	4
考验干部	kygb	1	4
口语化	kyh	1	3
抗氧化	kyh	2	3
开洋荤	kyh	3	3
可以缓解	kyhj	2	4
可以承受	kyiu	1	4
可以尝试	kyiu	2	4
可以成为	kyiw	1	4
开眼界	kyj	1	3
括约肌	kyj	2	3
孔乙己	kyj	3	3
可预见	kyj	4	3
扩音机	kyj	5	3
可以见到	kyjd	2	4
刻意解读	kyjd	3	4
括约肌松弛	kyji	1	4
科研基金	kyjj	1	4
口语交际	kyjj	2	4
看一看	kyk	2	3
哭一哭	kyk	3	3
侃一侃	kyk	4	3
可以看到	kykd	1	4
可以肯定	kykd	2	4
可以克服	kykf	1	4
可以看出	kyki	1	4
可以看见	kykj	1	4
开眼看世界	kykj	2	4
可以考虑	kykl	1	4
可盐可甜	kykt	3	4
可以肯定的是	kyku	2	4
可以可以	kyky	3	4
可以了	kyl	2	3
苦与乐	kyl	3	3
客运量	kyl	4	3
可以理解	kylj	1	4
可要了命了	kyll	1	4
可以了吗	kylm	1	4
刻意练习	kylx	1	4
可以吗	kym	1	3
可以么	kym	2	3
刻意模仿	kymf	1	4
开源免费	kymf	2	4
刻意抹黑	kymh	1	4
可以瞑目	kymm	1	4
可以去	kyq	2	3
扩音器	kyq	3	3
抗压强度	kyqd	1	4
可以确定	kyqd	2	4
刻意求工	kyqg	1	4
可以确认	kyqr	1	4
开源软件	kyrj	1	4
可以容忍	kyrr	1	4
可以忍受	kyru	1	4
可以入手	kyru	2	4
快意人生	kyru	3	4
考验人性	kyrx	1	4
可疑人员	kyry	2	4
科研所	kys	2	3
可以说	kyu	2	3
可以是	kyu	3	3
可以使	kyu	4	3
看医生	kyu	5	3
课余时间	kyuj	2	4
可以说是	kyuu	1	4
可以试试	kyuu	2	4
开元盛世	kyuu	3	4
可以实现	kyux	1	4
可以是可以	kyuy	1	4
抗议者	kyv	1	3
客运站	kyv	2	3
可抑制	kyv	3	3
可移植	kyv	4	3
可以知道	kyvd	1	4
可以这么	kyvm	1	4
枯鱼之肆	kyvs	1	4
考验智商	kyvu	3	4
客运中心	kyvx	1	4
可以这样	kyvy	1	4
可以为	kyw	2	3
康有为	kyw	3	3
可以完成	kywi	1	4
口眼歪斜	kywx	1	4
看一下	kyx	1	3
可以先	kyx	2	3
快一些	kyx	3	3
可以向	kyx	4	3
抗药性	kyx	5	3
抗压性	kyx	6	3
可以相处	kyxi	1	4
可以想见	kyxj	2	4
开源项目	kyxm	2	4
苦言相劝	kyxq	1	4
可以想象	kyxx	1	4
可以想像	kyxx	2	4
可以休矣	kyxy	1	4
开源协议	kyxy	2	4
可以选择	kyxz	1	4
可以用	kyy	2	3
看一眼	kyy	3	3
可以有	kyy	4	3
可用于	kyy	5	3
可以呀	kyy	6	3
可饮用	kyy	7	3
可应用	kyy	8	3
可以预见	kyyj	1	4
可以原谅	kyyl	1	4
刻意隐瞒	kyym	1	4
可引用性	kyyx	2	4
考研英语	kyyy	1	4
可应用于	kyyy	2	4
看样子	kyz	2	3
哭晕在厕所	kyzs	1	4
靠在	kz	2	2
裤子	kz	3	2
快走不送	kzbs	1	4
稇载而归	kzeg	1	4
蚵仔煎	kzj	1	3
快嘴快舌	kzku	2	4
快哉快哉	kzkz	1	4
快走快走	kzkz	2	4
卡姿兰	kzl	2	3
卡姿兰大眼睛	kzlj	2	4
裤子拉链	kzll	2	4
看走了眼	kzly	1	4
筷子筒	kzt	1	3
看作是	kzu	1	3
可再生	kzu	2	3
看在上帝的份上	kzuu	2	4
可再生资源	kzuy	1	4
可再生能源	kzuy	2	4
可造之才	kzvc	2	4
可造之材	kzvc	3	4
筷子兄弟	kzxd	1	4
看走眼	kzy	1	3
抠字眼	kzy	2	3
看在眼底	kzyd	1	4
看走眼了	kzyl	2	4
恋爱	la	2	2
立案调查	ladi	2	4
恋爱大师	ladu	2	4
两岸关系	lagx	1	4
柳暗花明又一村	lahc	1	4
懒癌患者	lahv	1	4
立案查处	laii	1	4
另案处理	lail	2	4
撸啊撸	lal	1	3
恋爱模拟	lamn	1	4
恋爱脑	lan	1	3
两岸人民	larm	1	4
两岸统一	laty	1	4
懒癌晚期	lawq	1	4
离岸信托	laxt	1	4
两岸猿声啼不住	layv	1	4
两边	lb	2	2
老板	lb	3	2
淋巴癌	lba	2	3
冷冰冰	lbb	2	3
拉粑粑	lbb	3	3
老版本	lbb	4	3
老伯伯	lbb	5	3
李冰冰	lbb	6	3
萝卜白菜各有所爱	lbba	2	4
两鬓斑白	lbbb	1	4
萝卜白菜	lbbc	2	4
老八辈子	lbbz	1	4
凉拌菜	lbc	2	3
辣白菜	lbc	3	3
聊表寸心	lbcx	2	4
了不得	lbd	2	3
轮不到	lbd	3	3
冷不丁	lbd	4	3
冷板凳	lbd	5	3
冷不丁地	lbdd	2	4
连奔带跑	lbdp	2	4
老板大气	lbdq	1	4
鲁班大师	lbdu	2	4
领兵打仗	lbdv	1	4
轮不到我	lbdw	1	4
两不耽误	lbdw	2	4
连本带息	lbdx	1	4
洛必达法则	lbdz	1	4
老伴儿	lbe	2	3
礼拜二	lbe	3	3
冷不防	lbf	2	3
两部分	lbf	3	3
老办法	lbf	4	3
冷不防地	lbfd	1	4
冷不防的	lbfd	2	4
老白干	lbg	2	3
两倍工资	lbgz	1	4
老本行	lbh	2	3
喇叭花	lbh	3	3
脸不红	lbh	4	3
鲁冰花	lbh	5	3
老板换碟	lbhd	3	4
老兵回归	lbhg	1	4
脸不红气不喘	lbhi	1	4
老板糊涂	lbht	1	4
脸不红心不跳	lbht	2	4
溜冰场	lbi	1	3
练兵场	lbi	2	3
力保城门不失	lbiu	1	4
来不及	lbj	2	3
礼拜几	lbj	3	3
零部件	lbj	4	3
淋巴结	lbj	5	3
老北京	lbj	6	3
老板键	lbj	7	3
来不及了	lbjl	2	4
略表敬意	lbjy	1	4
离不开	lbk	2	3
拉不开	lbk	3	3
凉白开	lbk	4	3
喇叭裤	lbk	5	3
列表框	lbk	6	3
礼不可废	lbkf	2	4
老不看三国	lbkg	1	4
萝卜开会	lbkh	1	4
拉不开差距	lbkj	1	4
离不开了	lbkl	2	4
来不来	lbl	2	3
累不累	lbl	3	3
冷暴力	lbl	4	3
礼拜六	lbl	5	3
厉不厉害	lblh	2	4
老爸老妈	lblm	1	4
淋病梅毒	lbmd	1	4
落榜美术生	lbmu	2	4
老板娘	lbn	2	3
了不起	lbq	2	3
冷兵器	lbq	3	3
拎不清	lbq	4	3
篮板球	lbq	5	3
萝卜青菜，各有所爱	lbqa	1	4
萝卜青菜各有所爱	lbqa	2	4
劣币驱逐良币	lbqb	2	4
萝卜青菜	lbqc	1	4
鲁班七号	lbqh	1	4
两不情愿	lbqy	1	4
礼拜日	lbr	2	3
拎包入住	lbrv	1	4
老不死	lbs	2	3
萝卜丝	lbs	3	3
雷布斯	lbs	4	3
礼拜三	lbs	5	3
礼拜四	lbs	6	3
鲁滨孙	lbs	7	3
老不死的	lbsd	1	4
鲁邦三世	lbsu	2	4
罗伯特	lbt	1	3
老半天	lbt	2	3
路边摊	lbt	3	3
萝卜头	lbt	4	3
流鼻涕	lbt	5	3
礼拜天	lbt	6	3
蓝白条纹	lbtw	1	4
蓝宝石	lbu	1	3
绿宝石	lbu	2	3
连不上	lbu	3	3
老把式	lbu	4	3
两笔输入法	lbuf	2	4
老板身体欠肛	lbug	2	4
力拔山河	lbuh	1	4
老板身体健康	lbuk	1	4
力拔山兮气盖世	lbuu	1	4
礼部尚书	lbuu	2	4
两把刷子	lbuz	1	4
拦不住	lbv	2	3
留不住	lbv	3	3
拉不住	lbv	4	3
老班长	lbv	5	3
腊八粥	lbv	6	3
拦不住的	lbvd	1	4
留不住的	lbvd	2	4
老不正经	lbvj	2	4
老蚌珠胎	lbvt	1	4
两不误	lbw	1	3
礼拜五	lbw	2	3
刘伯温	lbw	3	3
卢本伟牛逼	lbwb	2	4
老百姓	lbx	2	3
六边形	lbx	3	3
流鼻血	lbx	4	3
鲁滨逊	lbx	5	3
溜冰鞋	lbx	6	3
淋巴腺	lbx	7	3
两不相干	lbxg	2	4
鲁滨逊漂流记	lbxj	1	4
拉不下脸	lbxl	2	4
两不相欠	lbxq	1	4
六边形战士	lbxu	1	4
聊表谢意	lbxy	2	4
聊表心意	lbxy	3	4
礼拜一	lby	2	3
两步验证	lbyv	1	4
老鼻子	lbz	2	3
连笔字	lbz	3	3
略表尊敬	lbzj	1	4
两次	lc	2	2
两侧	lc	3	2
绿葱葱	lcc	1	3
楞次定律	lcdl	1	4
流窜犯	lcf	2	3
冷藏柜	lcg	1	3
来次够	lcg	2	3
冷藏车	lci	2	3
理财产品	lcip	1	4
冷藏库	lck	2	3
冷藏室	lcu	1	3
另存为	lcw	1	3
上老王论坛当老王	lcwh	2	4
冷藏箱	lcx	2	3
刘慈欣	lcx	3	3
粮草先行	lcxx	2	4
连词消字	lcxz	1	4
联词消字	lcxz	2	4
流窜作案	lcza	1	4
领导	ld	2	2
来到	ld	3	2
劳动	ld	4	2
拉倒吧	ldb	2	3
吕洞宾	ldb	3	3
朗读版	ldb	4	3
脸都白了	ldbl	2	4
来得不巧	ldbq	1	4
累得半死	ldbs	1	4
利多弊少	ldbu	2	4
领导层	ldc	1	3
粮多草广	ldcg	1	4
领导才能	ldcn	1	4
量大从优	ldcy	1	4
老搭档	ldd	1	3
懒得动	ldd	2	3
落地灯	ldd	3	3
劳动党	ldd	4	3
来的都是客	lddk	1	4
两端对齐	lddq	1	4
领导地位	lddw	1	4
垄断地位	lddw	2	4
伶仃大醉	lddz	1	4
脸蛋儿	lde	1	3
老地方	ldf	2	3
劳动法	ldf	3	3
老豆腐	ldf	4	3
领导方法	ldff	1	4
两地分居	ldfj	2	4
领导负责	ldfz	1	4
老大哥	ldg	1	3
立大功	ldg	2	3
绿豆糕	ldg	3	3
驴打滚	ldg	4	3
量大管饱	ldgb	2	4
伶仃孤苦	ldgk	1	4
劳动果实	ldgu	1	4
领导岗位	ldgw	1	4
劳动工资	ldgz	2	4
来电话	ldh	1	3
刘德华	ldh	2	3
来电话了	ldhl	1	4
来电号码	ldhm	1	4
流动红旗	ldhq	1	4
落地窗	ldi	2	3
锂电池	ldi	3	3
劳动成果	ldig	1	4
落地成盒	ldih	1	4
劳动产品	ldip	1	4
懒得出奇	ldiq	1	4
龙的传人	ldir	1	4
领导成员	ldiy	1	4
来得及	ldj	1	3
劳动节	ldj	2	3
烂大街	ldj	3	3
鹿鼎记	ldj	4	3
老大姐	ldj	5	3
劳动局	ldj	6	3
领导机构	ldjg	2	4
领导讲话	ldjh	1	4
雷电将军	ldjj	2	4
来电记录	ldjl	2	4
劳动技能	ldjn	1	4
来得及时	ldju	1	4
凛冬将至	ldjv	1	4
劳动价值	ldjv	2	4
料敌机先	ldjx	1	4
来得快	ldk	2	3
李达康	ldk	3	3
离得开	ldk	4	3
来到了	ldl	1	3
劳动力	ldl	2	3
领导力	ldl	3	3
聊得来	ldl	4	3
劳动量	ldl	5	3
脸对脸	ldl	6	3
懒得理会	ldlh	2	4
乱丢垃圾	ldlj	2	4
六丁六甲	ldlj	3	4
领导力量	ldll	1	4
来都来了	ldll	2	4
垄断利润	ldlr	1	4
涝的涝死	ldls	1	4
来电铃声	ldlu	2	4
来得慢	ldm	1	3
留点面子	ldmz	1	4
老大娘	ldn	1	3
领导能力	ldnl	2	4
拉动内需	ldnx	1	4
榴弹炮	ldp	2	3
立刀旁	ldp	3	3
懒得去	ldq	2	3
拎得清	ldq	3	3
领导权	ldq	4	3
乱弹琴	ldq	5	3
来得巧	ldq	6	3
老店欺客	ldqk	1	4
留得青山在不怕没柴烧	ldqu	2	4
留得青山在，不怕没柴烧	ldqu	3	4
留得青山在	ldqz	1	4
领导人	ldr	2	3
劳动日	ldr	3	3
理当如此	ldrc	1	4
礼多人不怪	ldrg	1	4
落得如此下场	ldri	2	4
来得容易去得快	ldrk	2	4
狼多肉少	ldru	1	4
流动人员	ldry	2	4
来点什么	ldsm	1	4
聊点什么	ldsm	2	4
绿豆汤	ldt	1	3
雷达图	ldt	2	3
老大徒伤悲	ldtb	1	4
来得太快	ldtk	1	4
龙的天空	ldtk	2	4
领导同志	ldtv	1	4
鲁大师	ldu	2	3
绿豆沙	ldu	3	3
掠夺式	ldu	4	3
落地式	ldu	5	3
落地扇	ldu	6	3
老的少的	ldud	1	4
陆地神仙境	lduj	1	4
烂到手里	ldul	1	4
落地实施	lduu	1	4
陆地神仙	ldux	1	4
领导者	ldv	1	3
雷达站	ldv	2	3
劳动者	ldv	3	3
绿豆粥	ldv	4	3
李大钊	ldv	5	3
劳动仲裁	ldvc	1	4
领导致辞	ldvc	2	4
力大砖飞	ldvf	2	4
来电转接	ldvj	1	4
来到这里	ldvl	1	4
蓝底照片	ldvp	1	4
拉丁文	ldw	1	3
拉丁舞	ldw	2	3
落袋为安	ldwa	1	4
老大无成	ldwi	1	4
轮到我了	ldwl	1	4
劳动卫生	ldwu	2	4
劳动委员	ldwy	1	4
领导下	ldx	2	3
老东西	ldx	3	3
流动性	ldx	4	3
绿灯侠	ldx	5	3
冷冻箱	ldx	6	3
拉动消费	ldxf	1	4
老大爷	ldy	2	3
林黛玉	ldy	3	3
离得远	ldy	4	3
拉丁语	ldy	5	3
老掉牙	ldy	6	3
略懂一二	ldye	1	4
老掉牙了	ldyl	1	4
来大姨妈	ldym	1	4
乱点鸳鸯谱	ldyp	1	4
累得要死	ldys	1	4
领地意识	ldyu	2	4
拉肚子	ldz	1	3
来得早	ldz	2	3
垄断资本	ldzb	1	4
领导作风	ldzf	1	4
牢底坐穿	ldzi	4	4
来得早不如来得巧	ldzq	1	4
连带责任	ldzr	1	4
老而不死	lebs	1	4
两耳不闻窗外事	lebu	1	4
来而不往非礼也	leby	2	4
老二次元	lecy	1	4
老二刺螈	lecy	2	4
铃儿响叮当	lexd	1	4
浪费	lf	1	2
裂缝	lf	2	2
理发店	lfd	1	3
聊复尔尔	lfee	1	4
乱纷纷	lff	1	3
卢浮宫	lfg	1	3
乱坟岗	lfg	2	3
立方根	lfg	3	3
浪费感情	lfgq	1	4
烂番出神曲	lfiq	1	4
录放机	lfj	1	3
立法机构	lfjg	2	4
龙凤吉祥	lfjx	1	4
乱罚款	lfk	1	3
联发科	lfk	2	3
浪费可耻	lfki	1	4
两房两厅	lflt	1	4
立方米	lfm	1	3
两方面	lfm	2	3
m³	lfm	3	3
龙凤配	lfp	1	3
老父亲	lfq	1	3
老夫妻	lfq	2	3
浪费青春	lfqi	1	4
恋父情结	lfqj	1	4
洛夫斯基	lfsj	1	4
了凡四训	lfsx	1	4
立方体	lft	1	3
雷峰塔	lft	2	3
龙凤胎	lft	3	3
浪费天赋	lftf	1	4
理发师	lfu	1	3
类风湿	lfu	2	3
浪费生命	lfum	1	4
轮番上阵	lfuv	1	4
类风湿性关节炎	lfuy	1	4
两分钟	lfv	1	3
六分之	lfv	2	3
来访者	lfv	3	3
落发为僧	lfws	1	4
拉风箱	lfx	1	3
凉风习习	lfxx	1	4
老佛爷	lfy	1	3
两房一厅	lfyt	1	4
流风遗韵	lfyy	2	4
老夫子	lfz	1	3
老房子	lfz	2	3
零分作文	lfzw	1	4
两个	lg	2	2
留给	lg	3	2
立国安邦	lgab	1	4
楼管阿姨	lgay	1	4
两个半	lgb	1	3
老干部	lgb	2	3
流感病毒	lgbd	1	4
两个部分	lgbf	1	4
六根不净	lgbj	1	4
老胳膊老腿	lgbt	1	4
两个半小时	lgbu	1	4
老古董	lgd	1	3
理工大	lgd	2	3
连锅端	lgd	3	3
老疙瘩	lgd	4	3
拉个垫背的	lgdd	1	4
立棍单打	lgdd	2	4
留个电话	lgdh	1	4
轮毂电机	lgdj	2	4
乱棍打死	lgds	2	4
两个多小时	lgdu	1	4
两个多月	lgdy	1	4
六个多月	lgdy	2	4
劳改犯	lgf	1	3
驴肝肺	lgf	2	3
两个方面	lgfm	1	4
龙肝凤脑	lgfn	1	4
六宫粉黛无颜色	lgfs	2	4
老公公	lgg	1	3
两个概念	lggn	1	4
离过婚	lgh	1	3
六个核桃	lght	1	4
类固醇	lgi	1	3
凉宫春日	lgir	1	4
老规矩	lgj	1	3
螺杆菌	lgj	2	3
两国交兵	lgjb	2	4
两个极端	lgjd	2	4
乐高积木	lgjm	2	4
留个纪念	lgjn	2	4
脸滚键盘	lgjp	1	4
两国交战	lgjv	1	4
老顾客	lgk	1	3
理工科	lgk	2	3
流过泪	lgl	1	3
了过来	lgl	2	3
利滚利	lgl	3	3
炼钢炉	lgl	4	3
