工人阶级	grjj
有益无害	yywh
弄假成真	njiv
畏葸不前	wxbq
饿殍遍野	epby
喊冤叫屈	hyjq
刁钻古怪	dzgg
七折八扣	qvbk
灯火阑珊	dhlu
如期而至	rqev
生津止渴	ujvk
琢磨琢磨	vmvm
兴奋不已	xfby
闲杂人员	xzry
红杏出墙	hxiq
谦谦君子	qqjz
小家碧玉	xjby
半真半假	bvbj
晓以大义	xydy
好色之徒	hsvt
不关痛痒	bgty
不解之谜	bjvm
倒不至于	dbvy
国共合作	gghz
惊奇不已	jqby
拼拼凑凑	ppcc
授之以渔	uvyy
有所不足	ysbz
风流韵事	flyu
一表人才	ybrc
狗皮膏药	gpgy
弹尽援绝	djyj
邓布利多	dbld
命运攸关	myyg
翘二郎腿	qelt
震天撼地	vthd
职业学校	vyxx
音乐学家	ylxj
急流勇退	jlyt
至圣先师	vuxu
威风八面	wfbm
要死要活	ysyh
以怨报德	yybd
肝脑涂地	gntd
长生不死	iubs
说东道西	uddx
教导有方	jdyf
粗声大气	cudq
中北美洲	vbmv
猪狗不如	vgbr
中华文明	vhwm
图谋不轨	tmbg
树大招风	udvf
以眼还眼	yyhy
泥牛入海	nnrh
以礼相待	ylxd
近朱者赤	jvvi
十室九空	uujk
心如死灰	xrsh
超凡入圣	ifru
本命英雄	bmyx
红颜祸水	hyhu
尽忠职守	jvvu
如若不然	rrbr
似有若无	syrw
愿闻其详	ywqx
粉饰太平	futp
贩夫走卒	ffzz
修桥补路	xqbl
船坚炮利	ijpl
有勇无谋	yywm
称心满意	ixmy
无始无终	wuwv
比下有余	bxyy
稻盛和夫	duhf
热泪纵横	rlzh
指点一二	vdye
腰酸腿痛	ystt
含饴弄孙	hyns
虚有其表	xyqb
生拉硬扯	ulyi
无补于事	wbyu
威风扫地	wfsd
悲愤交加	bfjj
八荣八耻	brbi
惊喜不已	jxby
莫名喜感	mmxg
目眩神迷	mxum
欧几里得	ojld
取之于民	qvym
问东问西	wdwx
信守不渝	xuby
勇敢无畏	ygww
自甘堕落	zgdl
力透纸背	ltvb
明火执仗	mhvv
千娇百媚	qjbm
雍容大度	yrdd
兔死狐悲	tshb
虽死犹生	ssyu
水光山色	ugus
不计前嫌	bjqx
不可不知	bkbv
大展身手	dvuu
翰林学士	hlxu
欢欣雀跃	hxqy
迟迟疑疑	iiyy
乘人不备	irbb
骄横跋扈	jhbh
精挑细选	jtxx
水泊梁山	ublu
卓有远见	vyyj
无人能及	wrnj
再生父母	zufm
浓荫蔽日	nybr
千门万户	qmwh
碎尸万段	suwd
横眉怒目	hmnm
变法维新	bfwx
保险公司	bxgs
话没说完	hmuw
咸豆腐脑	xdfn
悬梁自尽	xlzj
小玩意儿	xwye
游目四顾	ymsg
洋洋万言	yywy
落英缤纷	lybf
人微言轻	rwyq
词不达意	cbdy
与虎谋皮	yhmp
视为畏途	uwwt
浮皮潦草	fplc
若有所悟	rysw
曲里拐弯	qlgw
促膝而谈	cxet
滴滴嗒嗒	ddtt
大而言之	deyv
合作组织	hzzv
离岸公司	lags
力竭声嘶	ljus
慢慢悠悠	mmyy
四库全书	skqu
无父无母	wfwm
用人不疑	yrby
与日俱进	yrjj
引体向上	ytxu
狗血淋头	gxlt
悔恨交加	hhjj
纤尘不染	xibr
一无可取	ywkq
不分上下	bfux
后顾无忧	hgwy
黄泉路上	hqlu
鸡犬不留	jqbl
凯旋归来	kxgl
千错万错	qcwc
铁案如山	taru
天龙八部	tlbb
太上老君	tulj
神神秘秘	uumm
依稀可辨	yxkb
狗屁不通	gpbt
骨肉相残	grxc
缩头缩脑	stsn
不可不防	bkbf
顿开茅塞	dkms
肥肥胖胖	ffpp
非礼勿视	flwu
集权主义	jqvy
命运多舛	mydi
飘飘摇摇	ppyy
团团圆圆	ttyy
无知无觉	wvwj
瑕瑜互见	xyhj
一丝一缕	ysyl
易烊千玺	yyqx
一己之私	yjvs
披麻戴孝	pmdx
垂帘听政	iltv
终南捷径	znjj
行将就木	xjjm
杯盘狼藉	bplj
忸怩作态	nnzt
天公地道	tgdd
彻彻底底	iidd
恕我直言	uwvy
中华人民	vhrm
中学为体	vxwt
文艺青年	wyqn
以貌取人	ymqr
愁云惨雾	iycw
正中下怀	vvxh
明眸皓齿	mmhi
养家活口	yjhk
用尽心机	yjxj
气壮如牛	qvrn
结缔组织	jdzv
教书先生	juxu
名闻中外	mwvw
声名大振	umdv
咫尺之遥	vivy
正正当当	vvdd
王八羔子	wbgz
饮酒作乐	yjzl
移情别恋	yqbl
说风凉话	uflh
遮人耳目	vrem
比肩接踵	bjjv
鲜克有终	xkyv
袅袅婷婷	nntt
反托拉斯	ftls
龟兔赛跑	gtsp
毫无问题	hwwt
如约而至	ryev
四舍五入	suwr
王二麻子	wemz
邀功请赏	ygqu
有张有弛	yvyi
自成一体	ziyt
吹拉弹唱	ilti
如鲠在喉	rgzh
健步如飞	jbrf
闻风而逃	wfet
鸡飞狗跳	jfgt
夜长梦多	yimd
拈花惹草	nhrc
掐头去尾	qtqw
大有所为	dysw
人老珠黄	rlvh
一时半刻	ysbk
瓜分豆剖	gfdp
衣冠禽兽	ygqu
不可不察	bkbi
不可貌相	bkmx
蒂花之秀	dhvx
国美电器	gmdq
穿街过巷	ijgx
吹一辈子	iybz
吭哧吭哧	kiki
明明灭灭	mmmm
平方千米	pfqm
四通集团	stjt
亭台楼榭	ttlx
无权无势	wqwu
席卷而来	xjel
念兹在兹	nzzz
逐鹿中原	vlvy
鸡零狗碎	jlgs
万语千言	wyqy
言简意深	yjys
不清不白	bqbb
放任不管	frbg
高视阔步	gukb
毫发无损	hfws
和和美美	hhmm
毁尸灭迹	humj
搂搂抱抱	llbb
偏听则暗	ptza
人尽其用	rjqy
堂堂皇皇	tthh
指点江山	vdju
无从着手	wcvu
小兔崽子	xtzz
夏威夷岛	xwyd
气定神闲	qdux
机关算尽	jgsj
白驹过隙	bjgx
戴绿帽子	dlmz
苯甲酸钠	bjsn
二氧化锰	eyhm
激情澎湃	jqpp
老少爷们	luym
上上个月	uugy
稳如磐石	wrpu
瞎说八道	xubd
浴火重生	yhiu
新婚燕尔	xhye
怡情养性	yqyx
城下之盟	ixvm
孺子可教	rzkj
月白风清	ybfq
风雨不透	fybt
谷氨酸钠	gasn
忽上忽下	huhx
前列腺素	qlxs
天体力学	ttlx
声名远播	umyb
伸手可及	uukj
小宝贝儿	xbbe
印地安人	ydar
又惊又怒	yjyn
变化无穷	bhwq
国仇家恨	gijh
粗中有细	cvyx
不足为凭	bzwp
多嘴多舌	dzdu
不分皂白	bfzb
功莫大焉	gmdy
各有所需	gysx
合抱之木	hbvm
茶余酒后	iyjh
少不懂事	ubdu
说到头来	udtl
山呼海啸	uhhx
遮风避雨	vfby
指天发誓	vtfu
自报家门	zbjm
苦中作乐	kvzl
兵不血刃	bbxr
避人耳目	brem
喜不自胜	xbzu
党同伐异	dtfy
大有起色	dyqs
不知就里	bvjl
刀枪剑戟	dqjj
焚膏继晷	fgjg
万万千千	wwqq
不得安生	bdau
大饱口福	dbkf
打打杀杀	dduu
借水行舟	juxv
笼而统之	letv
男同性恋	ntxl
太不像话	tbxh
顺顺利利	uull
至始至终	vuvv
小米手环	xmuh
闭门不出	bmbi
鼎鼎有名	ddym
自卖自夸	zmzk
有口难辩	yknb
寻死觅活	xsmh
难如登天	nrdt
游移不定	yybd
料事如神	luru
难乎其难	nhqn
八九月份	bjyf
苍苍茫茫	ccmm
马路牙子	mlyz
所思所想	sssx
双曲拱桥	uqgq
主治大夫	vvdf
坐公交车	zgji
干净利索	gjls
反求诸己	fqvj
群魔乱舞	qmlw
拾人牙慧	uryh
归去来兮	gqlx
天人之际	trzj
千姿万态	qzwt
安安分分	aaff
白领阶层	bljc
单门独户	dmdh
大展鸿图	dvht
恶言恶语	eyey
京津地区	jjdq
丧子之痛	szvt
照单全收	vdqu
惘然若失	wrru
有求于人	yqyr
银泰百货	ytbh
自寻死路	zxsl
三省吾身	sxwu
寻花问柳	xhwl
不明事理	bmul
笔墨官司	bmgs
追根求源	zgqy
表里一致	blyv
仓皇失措	chuc
三心两意	sxly
必败无疑	bbwy
苦尽甜来	kjtl
浪得虚名	ldxm
落基山脉	ljum
泪流不止	llbv
人走茶凉	rzil
武警支队	wjvd
野鸡大学	yjdx
杨枝甘露	yvgl
音讯全无	yxqw
早睡早起	zuzq
镜花水月	jhuy
鱼贯而出	ygei
男女有别	nnyb
鸡犬相闻	jqxw
身首异处	uuyi
顺水人情	uurq
格物致知	gwvv
益寿延年	yuyn
有凭有据	ypyj
万世师表	wuub
千依百顺	qybu
安非他明	aftm
故作姿态	gzzt
晃来晃去	hlhq
甜豆腐脑	tdfn
争名逐利	vmvl
万分之几	wfvj
唯恐不及	wkbj
以身相许	yuxx
严刑逼供	yxbg
意欲何为	yyhw
悲观厌世	bgyu
聊胜于无	luyw
横平竖直	hpuv
四大皆空	sdjk
水木清华	umqh
遗老遗少	ylys
法不阿贵	fbag
火烧连营	huly
经济学奖	jjxj
口红色号	khsh
令人动容	lrdr
临危不乱	lwbl
破壳而出	pkei
文武百官	wwbg
相对来说	xdlu
小孩子家	xhzj
英伦三岛	ylsd
御史大夫	yudf
一招半式	yvbu
在不远处	zbyi
弥留之际	mlvj
中庸之道	vyvd
秀色可餐	xskc
以德服人	ydfr
怪力乱神	gllu
垂手可得	cskd
喟然长叹	krit
打躬作揖	dgzy
小试锋芒	xufm
不可言说	bkyu
百鸟争鸣	bnvm
笨嘴笨舌	bzbu
此呼彼应	chby
大连理工	dllg
广东广州	gdgv
佩雷尔曼	plem
权衡轻重	qhqv
全盘皆输	qpju
谈婚论嫁	thlj
生儿养女	ueyn
视网膜炎	uwmy
州立大学	vldx
知书达理	vudl
正正派派	vvpp
无能之辈	wnvb
相对说来	xdul
县公安局	xgaj
语出惊人	yijr
怏怏不乐	yybl
不疾不徐	bjbx
宝刀未老	bdwl
虾兵蟹将	xbxj
尺有所短	iysd
求仁得仁	qrdr
才疏学浅	cuxq
丢盔卸甲	dkxj
铭记不忘	mjbw
费尽口舌	fjku
狗胆包天	gdbt
屁颠屁颠	pdpd
胜之不武	uvbw
以一当百	yydb
夫唱妇随	fifs
适逢其时	ufqu
否极泰来	pjtl
危如累卵	wrll
魑魅魍魉	imwl
削铁如泥	xtrn
攀龙附凤	plff
七十二行	qseh
瓦釜雷鸣	wflm
不合情理	bhql
地尽其利	djql
妇人之见	frvj
霍格沃茨	hgwc
看家护院	kjhy
潦潦草草	llcc
年少气盛	nuqu
生不如死	ubrs
世界政府	ujvf
手起刀落	uqdl
万箭齐发	wjqf
血流满面	xlmm
荒淫无度	hywd
言为心声	ywxu
涸泽而渔	hzey
从善如登	curd
吆五喝六	ywhl
识文断字	uwdz
绝代佳人	jdjr
手疾眼快	ujyk
屏声静气	psjq
大人先生	drxs
公共场合	ggih
广西壮族	gxvz
豪气干云	hqgy
拉家带口	ljdk
命悬一线	mxyx
同母异父	tmyf
碳酸饮料	tsyl
体育博主	tybv
天圆地方	tydf
未婚生子	whuz
一饱口福	ybkf
一扫而过	yseg
死无对证	swdv
以卵击石	ylju
郎才女貌	lcnm
耳鬓厮磨	ebsm
同生共死	tugs
鸡鸣狗盗	jmgd
参差错落	cccl
自轻自贱	zqzj
好学不倦	hxbj
上天无路	utwl
不解其意	bjqy
并无二致	bwev
丁腈橡胶	djxj
范进中举	fjvj
高脂血症	gvxv
令人心痛	lrxt
了无生气	lwuq
奴颜媚骨	nymg
禽兽不如	qubr
松松散散	ssss
投资企业	tzqy
商务酒店	uwjd
未婚先孕	whxy
习惯用语	xgyy
用非所学	yfsx
自成一派	ziyp
口耳相传	kexc
相生相克	xuxk
立锥之地	lvvd
各取所长	gqsi
地灵人杰	dlrj
大半个月	dbgy
电磁屏蔽	dcpb
非礼勿听	flwt
惊魂甫定	jhfd
可大可小	kdkx
另有所图	lyst
拿腔拿调	nqnt
特权阶级	tqjj
朝不虑夕	vblx
无时不在	wubz
无事可干	wukg
楔形文字	xxwz
以德报怨	ydby
真命天子	vmtz
天下一家	txyj
困兽犹斗	kuyd
震古烁今	vguj
富贵荣华	fgrh
月明星稀	ymxx
狼奔豕突	lbut
先入之见	xrzj
步人后尘	brhi
言之无文	yvww
大张挞伐	dvtf
勾魂摄魄	ghup
胆战心寒	dvxh
官复原职	gfyv
更进一层	gjyc
怪腔怪调	gqgt
何患无词	hhwc
红装素裹	hvsg
记不清楚	jbqi
居无定所	jwds
狂犬吠日	kqfr
闷声闷气	mumq
名震中外	mvvw
耐人深思	nrus
弃之不用	qvby
茹苦含辛	rkhx
三角函数	sjhu
丧家之狗	sjvg
退隐江湖	tyjh
拾遗补阙	uybq
万古千秋	wgqq
位列前茅	wlqm
巍然不动	wrbd
愿者上钩	yvug
一跃而出	yyei
刻舟求剑	kvqj
男欢女爱	nhna
义薄云天	ybyt
千叮万嘱	qdwv
惠而不费	hebf
入地无门	rdwm
九死不悔	jsbh
片言只字	pyzz
爱尔维修	aewx
倒海翻江	dhfj
非礼勿言	flwy
航空公司	hkgs
梅兰竹菊	mlvj
满身大汗	mudh
难解之谜	njvm
三番四次	sfsc
逃过一劫	tgyj
团团簇簇	ttcc
时高时低	ugud
赏善罚恶	uufe
眨巴眨巴	vbvb
账房先生	vfxu
无法置信	wfvx
物理学奖	wlxj
自由落体	zylt
罪加一等	zjyd
善有善报	uyub
南橘北枳	njbv
好勇斗狠	hydh
备而不用	beby
娓娓而谈	wwet
百无一用	bwyy
无名小辈	wmxb
命里注定	mlvd
骨鲠在喉	ggzh
性命交关	xmjg
食而不化	uebh
鸿篇巨著	hpjv
黑色幽默	hsym
九天仙子	jtxz
没有意思	myys
鸵鸟政策	tnvc
声入人心	urrx
惟恐不及	wkbj
无一不是	wybu
扫地出门	sdim
人间地狱	rjdy
师出有名	uiym
拍案惊奇	pajq
推崇备至	tibv
鸿鹄之志	hhvv
惟命是从	wmsc
长江天堑	ijtq
三山五岳	suwy
添枝加叶	tvjy
好事之徒	huvt
参差不一	ccby
穷极无聊	qjwl
出没无常	cmwc
不前不后	bqbh
待人处事	driu
非礼勿动	flwd
惊鸿一瞥	jhyp
奇花异木	qhym
秋去冬来	qqdl
铁道学院	tdxy
逐个击破	vgjp
无药可救	wykj
修成正果	xivg
另谋高就	lmgj
明修栈道	mxvd
倾国倾城	qgqi
生花妙笔	shmb
没齿难忘	minw
头昏目眩	thmx
贼眉鼠眼	zmuy
坐地分赃	zdfz
金口玉言	jkyy
妇人之仁	frvr
乱臣贼子	lizz
吟风弄月	yfny
冰肌玉骨	bjyg
博学多识	bxdu
大才小用	dcxy
幡然醒悟	frxw
非特异性	ftyx
古灵精怪	gljg
交感神经	jguj
坚若磐石	jrpu
梦溪笔谈	mxbt
体育用品	tyyp
声若洪钟	urhv
杀人偿命	urim
转怒为喜	vnwx
行为艺术	xwyu
意兴阑珊	yxlu
窥见一斑	kjyb
丢三落四	dsls
不能自已	bnzy
声如洪钟	urhv
亦庄亦谐	yzyx
插翅难逃	iint
三朝元老	siyl
得陇望蜀	dlwu
音容宛在	yrwz
昏头转向	htvx
五行八作	whbz
泥古不化	ngbh
东扯西拉	dcxl
不可斗量	bkdl
葱葱郁郁	ccyy
大不如前	dbrq
大奸大恶	djde
冬练三九	dlsj
荒腔走板	hqzb
江湖术士	jhuu
健健康康	jjkk
冷热交替	lrjt
麻婆豆腐	mpdf
年如一日	nryr
秦皇汉武	qhhw
退而结网	tejw
上个礼拜	uglb
卧病不起	wbbq
无穷级数	wqju
五色斑斓	wsbl
为之一动	wvyd
舞榭歌台	wxgt
悉听尊便	xtzb
伊莱克斯	ylks
吆三喝四	yshs
仰天长笑	ytix
富可敌国	fkdg
人事不省	rsbx
家道中落	jdvl
势单力孤	udlg
七扭八歪	qnbw
扼腕长叹	ewit
小国寡民	xggm
朝秦暮楚	vqmi
庄周梦蝶	vvmd
流离颠沛	lldp
安份守己	afuj
不得了了	bdll
背水作战	buzv
二五八万	ewbw
可不容易	kbry
看来看去	klkq
啰啰嗦嗦	llss
毛头小子	mtxz
能言善道	nyud
三亲六故	sqlg
说得有理	udyl
事务缠身	uwiu
雄才伟略	xcwl
血如泉涌	xrqy
在天有灵	ztyl
开疆拓土	kjtt
心如刀绞	xrdj
纷纷扰扰	ffrr
不求有功	bqyg
话里有话	hlyh
晨钟暮鼓	ivmg
闻风而至	wfev
舐犊情深	udqu
本性难移	bxny
生生世世	uuuu
瞎子摸象	xzmx
官逼民反	gbmf
聚讼纷纭	jsfy
意在言外	yzyw
存而不论	cebl
玉洁冰清	yjbq
臧否人物	zprw
天理人情	tlrq
轻诺寡信	qngx
本本分分	bbff
丢魂落魄	dhlp
大意不得	dybd
乏人问津	frwj
怪奇物语	gqwy
挥霍一空	hhyk
火药味儿	hywe
缠缠绵绵	iimm
静观其变	jgqb
君临天下	jltx
精神头儿	jute
乐观其成	lgqi
六六大顺	lldu
铭记于心	mjyx
马里亚纳	mlyn
面目皆非	mmjf
晴朗无云	qlwy
伤风感冒	ufgm
少林武僧	ulws
上天下地	utxd
肢体语言	vtyy
席不暇暖	xbxn
一展所长	yvsi
有缘无分	yywf
上下其手	uxqu
予取予求	yqyq
城门失火	imuh
青史留名	qulm
黄雀在后	hqzh
汪洋恣肆	wyzs
加油添醋	jytc
名重一时	mzys
卖弄风骚	mnfs
不当回事	bdhu
此生此世	cucu
格林豪泰	glht
黑白颠倒	hbdd
唱片公司	ipgs
价值千金	jvqj
灵魂出窍	lhiq
清华北大	qhbd
三大纪律	sdjl
手不能提	ubnt
双龙戏珠	ulxv
无敌舰队	wdjd
无路可退	wlkt
削发为尼	xfwn
一妻多夫	yqdf
油头滑脑	ythn
有伤大雅	yudy
铁板钉钉	tbdd
覆水难收	funu
秦晋之好	qjvh
不知凡几	bvfj
绫罗绸缎	llid
柔肠寸断	ricd
谆谆善诱	zzsy
东征西讨	dvxt
因循苟且	yxgq
安如磐石	arpu
洪福齐天	hfqt
不孝之子	bxvz
慈悲为怀	cbwh
滴酒不沾	djbv
各就其位	gjqw
克罗恩病	kleb
看在眼里	kzyl
难得糊涂	ndht
拿腔作势	nqzu
疲乏无力	pfwl
去而复返	qeff
人尽皆知	rjjv
收放自如	ufzr
置之一笑	vvyx
舞刀弄枪	wdnq
闻风而起	wfeq
无机肥料	wjfl
笑掉大牙	xddy
寻亲访友	xqfy
御驾亲征	yjqv
请君入瓮	qjrw
秀外慧中	xwhv
敢作敢当	gzgd
不忍卒读	brzd
竹篮打水	vldu
男婚女嫁	nhnj
不尴不尬	bgbg
日上三竿	rusg
文武之道	wwvd
百川归海	bigh
罪该万死	zgws
坦然自若	trzr
荦荦大者	lldz
杳如黄鹤	yrhh
千秋万世	qqws
嘈嘈杂杂	cczz
冯诺依曼	fnym
绰约多姿	iydz
老年大学	lndx
目不旁视	mbpu
热胀冷缩	rvls
死缠烂打	sild
送子观音	szgy
神兵利器	ublq
说话算话	uhsh
芝麻绿豆	vmld
忘其所以	wqsy
误伤友军	wuyj
硝化细菌	xhxj
遐想联翩	xxlp
愚夫愚妇	yfyf
啧啧称羡	zzix
云淡风轻	ydfq
周游列国	vylg
全盘托出	qpti
螳螂捕蝉	tlbi
缺吃少穿	qcxc
低吟浅唱	dyqi
吉星高照	jxgv
嘉言懿行	jyyx
虎踞龙盘	hjlp
钟鸣鼎食	vmds
响遏行云	xexy
吐气扬眉	tqym
不容小觑	brxq
光艳照人	gyvr
含而不露	hebl
初一十五	iyuw
狙击步枪	jjbq
康帕内拉	kpnl
摩尔庄园	mevy
难眠之夜	nmvy
平安幸福	paxf
皮下注射	pxvu
仁人君子	rrjz
天差地别	tidb
桃李满园	tlmy
生死不离	usbl
终其一生	vqyu
有所不便	ysbb
狡兔三窟	jtsk
万箭穿心	wjix
闯荡江湖	idjh
小肚鸡肠	xdji
围魏救赵	wwjv
超然物外	irww
披坚执锐	pjvr
不平则鸣	bpzm
木牛流马	mnlm
夫子自道	fzzd
江河行地	jhxd
不识大体	budt
不孝有三	bxys
伯夷叔齐	byuq
村上春树	cuiu
耳目喉舌	emhu
丰乳肥臀	frft
互不来往	hblw
黑更半夜	hgby
长途旅行	itlx
冷眼相看	lyxk
谬之千里	mvql
内外兼修	nwjx
匹马单枪	pmdq
曲尽其妙	qjqm
千载一时	qzyu
傻不愣登	ubld
众口同声	vktu
位高权重	wgqv
心荡神迷	xdum
月光宝盒	ygbh
自然法则	zrfz
电闪雷鸣	dulm
翻手为云	fuwy
抱头大哭	btdk
讲经说法	jjuf
岁寒三友	shsy
老之将至	lvjv
过河卒子	ghzz
聪明一世	cmyu
日丽风和	rlfh
芭比娃娃	bbww
不死不休	bsbx
比手划脚	buhj
不值一文	bvyw
苍松翠竹	cscv
东邻西舍	dlxu
福泽谕吉	fzyj
广结善缘	gjuy
刮目相待	gmxd
恍然如梦	hrrm
毫无理由	hwly
抗美援越	kmyy
懵然无知	mrwv
隋唐演义	styy
天文地理	twdl
舌剑唇枪	ujiq
世外桃园	uwty
知书达礼	vudl
长长记性	vvjx
无处可逃	wikt
纤毫毕现	xhbx
倚马可待	ymkd
由内而外	ynew
罪不容诛	zbrv
朝发夕至	vfxv
不上不下	bsbx
举案齐眉	jaqm
冷眼相待	lyxd
借花献佛	jhxf
不名一文	bmyw
同心戮力	txll
决一胜负	jyuf
弄巧反拙	nqfv
心焦如焚	xjrf
天不作美	tbzm
千峰万壑	qfwh
绿叶成荫	lyiy
不离不弃	blbq
从来不是	clbu
才智过人	cvgr
道不拾遗	dbuy
国际公司	gjgs
火光烛天	hgvt
忽前忽后	hqhh
好事成双	huiu
绝对湿度	jdud
隆冬腊月	ldly
名震遐迩	mvxe
四顾无人	sgwr
投怀送抱	thsb
外包装盒	wbvh
为时晚矣	wuwy
香汗淋漓	xhll
夜半三更	ybsg
印加帝国	yjdg
有损无益	yswy
狂风骤雨	kfvy
关门闭户	gmbh
洁白无瑕	jbwx
神情自若	uqzr
守身如玉	uury
前思后想	qshx
惺惺作态	xxzt
盖世英雄	guyx
不知轻重	bvqv
呼之即来	hvjl
百读不厌	bdby
半文半白	bwbb
要而言之	yeyv
奇风异俗	qfys
事出无奈	uiwn
黄钟毁弃	hvhq
榆木疙瘩	ymgd
边缘科学	bykx
嘈嘈切切	ccqq
草木虫鱼	cmiy
大明湖畔	dmhp
防人之心	frvx
分身乏术	fufu
古剑奇谭	gjqt
垂头不语	itby
见棱见角	jljj
狂犬疫苗	kqym
绿水长流	luil
奶声奶气	nunq
天从人愿	tcry
十八罗汉	ublh
卓尔不凡	vebf
知过必改	vgbg
知人善用	vruy
无名之火	wmvh
无所不精	wsbj
一夫多妻	yfdq
大家风范	djff
远交近攻	yjjg
看家本事	kjbu
别树一帜	bsyz
横行天下	hxtx
薪尽火传	xjhi
胸无点墨	xwdm
官官相卫	ggxw
离情别绪	lqbx
艾欧尼亚	aony
不轻不重	bqbv
不治而愈	bvey
独霸天下	dbtx
德玛西亚	dmxy
风生水起	fuuq
反守为攻	fuwg
分子结构	fzjg
购物中心	gwvx
环保主义	hbvy
刻薄寡恩	kbge
鲲鹏展翅	kpvi
拉格朗日	lglr
宁夏回族	nxhz
破茧而出	pjei
热血澎湃	rxpp
投之以桃	tvyt
神经纤维	ujqw
时快时慢	ukum
睡一会儿	uyhe
真材实料	vcul
咋咋呼呼	vvhh
心怀不轨	xhbg
性染色体	xrst
意马心猿	ymxy
自取其咎	zqqj
敲山震虎	quvh
种瓜得瓜	vgdg
死而无憾	sewh
弃恶从善	qecu
博闻强识	bwqu
抱打不平	bdbp
冷血动物	lxdw
昼伏夜行	zfyx
奇光异彩	qgyc
瞠乎其后	ihqh
丝竹管弦	svgx
识途老马	utlm
乱世英雄	luyx
付之流水	fvlu
不合时令	bhul
不吉之兆	bjvv
不长记性	bvjx
凑凑热闹	ccrn
电竞酒店	djjd
贡布里希	gblx
顾命大臣	gmdi
畅快淋漓	ikll
九牛二虎	jneh
俊男靓女	jnln
剑走偏锋	jzpf
客死异乡	ksyx
灵魂歌者	lhgv
令人不齿	lrbi
满腹疑团	mfyt
南孚电池	nfdi
你有没有	nymy
旁系亲属	pxqu
情深意重	quyv
缺心眼子	qxyz
算盘珠子	spvz
遂心如意	sxry
贪婪成性	tlix
天下之大	txvd
势所难免	usnm
煞有其事	uyqu
孰优孰劣	uyul
无凭无据	wpwj
与人无争	yrwv
抽丝剥茧	isbj
一路风尘	ylfi
一人之下	yrvx
袒胸露背	txlb
海底捞月	hdly
鱼贯而行	ygex
以人为鉴	yrwj
以夷制夷	yyzy
甘之若饴	gvry
三宫六院	sgly
没头没脸	mtml
不理不睬	blbc
八月十五	byuw
财经学院	cjxy
独立门户	dlmh
绝非如此	jfrc
诘屈聱牙	jqay
聚散离合	jslh
咎有应得	jyyd
空乏其身	kfqu
脸上有光	luyg
鲤鱼打挺	lydt
明窗净几	mijj
憔悴不堪	qcbk
穷而后工	qehg
千钧之力	qjvl
奇门遁甲	qmdj
容人之量	rrvl
申银万国	uywg
无可取代	wkqd
心旌摇荡	xjyd
席卷一空	xjyk
嚣张跋扈	xvbh
一己之力	yjvl
眼冒金星	ymjx
总体而言	ztey
路见不平	ljbp
修齐治平	xqzp
巨细无遗	jxwy
沉鱼落雁	iyly
包罗万有	blwy
昂头挺胸	attx
万目睽睽	wmkk
天理良心	tllx
安安逸逸	aayy
安非他命	aftm
别具慧眼	bjhy
付诸流水	fvlu
孤苦无依	gkwy
公众场所	gvis
话里话外	hlhw
活力四射	hlsu
利人利己	lrlj
慢声慢气	mumq
欧亚大陆	oydl
惹祸上身	rhuu
仁义礼智	rylv
推杯换盏	tbhv
徒呼奈何	thnh
停停走走	ttzz
至死方休	vsfx
中途而废	vtef
獐头鼠目	vtum
制药集团	vyjt
文明礼让	wmlr
无日无夜	wrwy
无色无味	wsww
为之所动	wvsd
相夫教子	xfjz
心同此理	xtcl
一睹芳容	ydfr
有线电报	yxdb
异于常人	yyir
兵不厌诈	bbyv
束手无措	sswc
天差地远	tidy
迟疑不定	cybd
求神问卜	quwb
初生之犊	cszd
吉凶未卜	jxwb
治国安民	vgam
安享晚年	axwn
变生不测	bubc
残山剩水	cuuu
大口大口	dkdk
多情多义	dqdy
电热水瓶	drup
东摇西晃	dyxh
二三点钟	esdv
反过头来	fgtl
非专业性	fvyx
吹弹可破	idkp
技艺超群	jyiq
另作别论	lzbl
妙手空空	mukk
千秋万岁	qqws
千岩万壑	qywh
随风转舵	sfvd
随手拈来	sunl
无人能敌	wrnd
无思无虑	wswl
心广体胖	xgtp
一来一去	ylyq
有所不忍	ysbr
吃里爬外	ilpw
望风而逃	wfet
情深义重	quyv
权宜之策	qyzc
福寿双全	fssq
加官进爵	jgjj
好声好气	huhq
殚精竭力	djjl
百万雄兵	bwxb
眼尖手快	yjsk
哀痛欲绝	atyj
百鬼夜行	bgyx
变态心理	btxl
断壁颓垣	dbty
打锣打鼓	dldg
高等生物	gduw
官宦人家	ghrj
骨质疏松	gvus
公子王孙	gzws
汉藏语系	hcyx
呼朋引类	hpyl
缄默无言	jmwy
精神病人	jubr
平凡无奇	pfwq
披麻带孝	pmdx
确非易事	qfyu
上皮细胞	upxb
张口闭口	vkbk
株连九族	vljz
无可收拾	wkuu
物理化学	wlhx
席琳迪翁	xldw
泫然欲泣	xryq
一地鸡毛	ydjm
异途同归	yttg
永无止息	ywvx
攻城略地	gild
争强好胜	vqhu
雁过留声	yglu
明升暗降	muaj
隐名埋姓	ymmx
画中有诗	hzys
转悲为喜	vbwx
安富尊荣	afzr
报之以李	bvyl
大病一场	dbyi
多功能厅	dgnt
恶言相向	eyxx
官渡之战	gdvv
后知后觉	hvhj
激动万分	jdwf
机电学院	jdxy
接连而来	jlel
快意恩仇	kyei
明明不是	mmbu
明确无误	mqww
