行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
74567	史卡戴尔的罗特	1	shi3 ka3/qia3 dai4 er3 de5/di2/di4 luo1/luo2/luo5 te4	shikadaierdeluote				待分配	证据不足或仍冲突；待分配	
74570	史图·克莱明史凯	1	shi3 tu2 #ke4 lai2 ming2 shi3 kai3	shitu*kelaimingshikai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74573	史坦·布鲁克斯	1	shi3 tan3 #bu4 lu3 ke4 si1	shitan*bulukesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74574	史坦·法兰克夫斯基	1	shi3 tan3 #fa3 lan2 ke4 fu1/fu2 si1 ji1	shitan*falankefusiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74576	史塔索夫	1	shi3 da5/ta3 suo3 fu1/fu2	shitasuofu				待分配	证据不足或仍冲突；待分配	
74577	史塔莫斯	1	shi3 da5/ta3 mo4 si1	shitamosi				待分配	证据不足或仍冲突；待分配	
74578	史塔门斯	1	shi3 da5/ta3 men2 si1	shitamensi				待分配	证据不足或仍冲突；待分配	
74579	史塔顿	1	shi3 da5/ta3 du2/dun4	shitadun				待分配	证据不足或仍冲突；待分配	
74580	史多摩	1	shi3 duo1 ma1/mo2	shiduomo				待分配	证据不足或仍冲突；待分配	
74582	史奴比·道格·希弗	1	shi3 nu2 bi3 #dao4 ge1/ge2 #xi1 fu2	shinubi*daoge*xifu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74596	史尼奇	1	shi3 ni2 ji1/qi2	shiniqi				待分配	证据不足或仍冲突；待分配	
74597	史屈塞	1	shi3 qu1 sai1/sai4/se4	shiqusai				待分配	证据不足或仍冲突；待分配	
74598	史崔克会	1	shi3 cui1 ke4 hui4/kuai4	shicuikehui				待分配	证据不足或仍冲突；待分配	
74599	史崔克都	1	shi3 cui1 ke4 dou1/du1	shicuikedu				待分配	证据不足或仍冲突；待分配	
74601	史帕奇	1	shi3 pa4 ji1/qi2	shipaqi				待分配	证据不足或仍冲突；待分配	
74604	史德柏林	1	shi3 de2 bai3/bo2/bo4 lin2	shidebailin				待分配	证据不足或仍冲突；待分配	
74605	史戴奇	1	shi3 dai4 ji1/qi2	shidaiqi				待分配	证据不足或仍冲突；待分配	
74607	史戴维·温	1	shi3 dai4 wei2 #wen1	shidaiwei*wen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74608	史戴茜	1	shi3 dai4 qian4/xi1	shidai*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74610	史托摩	1	shi3 tuo1 ma1/mo2	shituomo				待分配	证据不足或仍冲突；待分配	
74613	史提夫·利维	1	shi3 di1/ti2 fu1/fu2 #li4 wei2	shitifu*liwei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74614	史提夫·杰拉德	1	shi3 di1/ti2 fu1/fu2 #jie2 la1/la2/la3/la4 de2	shitifu*jielade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74615	史提夫多	1	shi3 di1/ti2 fu1/fu2 duo1	shitifuduo				待分配	证据不足或仍冲突；待分配	
74616	史提文森	1	shi3 di1/ti2 wen2 sen1	shitiwensen				待分配	证据不足或仍冲突；待分配	
74617	史摩基·罗宾逊	1	shi3 ma1/mo2 ji1 #luo1/luo2/luo5 bin1 xun4	shimoji*luobinxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74627	史柏淳	1	shi3 bai3/bo2/bo4 chun2	shibaichun				待分配	证据不足或仍冲突；待分配	
74631	史波奇	1	shi3 bo1 ji1/qi2	shiboqi				待分配	证据不足或仍冲突；待分配	
74633	史派西·迈吉	1	shi3 pa1/pai4 xi1 #mai4 ji2	shipaixi*maiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74639	史班奇	1	shi3 ban1 ji1/qi2	shibanqi				待分配	证据不足或仍冲突；待分配	
74643	史罗伯	1	shi3 luo1/luo2/luo5 bai3/bo2	shiluobo				待分配	证据不足或仍冲突；待分配	
74645	史翠思	1	shi3 cui4 sai1/si1	shicuisi				待分配	证据不足或仍冲突；待分配	
74653	史蒂乐	1	shi3 di4 le4/yue4	shidile				待分配	证据不足或仍冲突；待分配	
74654	史蒂夫·兰多佐	1	shi3 di4 fu1/fu2 #lan2 duo1 zuo3	shidifu*landuozuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74655	史蒂夫·卡彭特	1	shi3 di4 fu1/fu2 #ka3/qia3 peng2 te4	shidifu*kapengte				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74656	史蒂夫·多诺万	1	shi3 di4 fu1/fu2 #duo1 nuo4 mo4/wan4	shidifu*duonuowan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74657	史蒂夫·弗拉	1	shi3 di4 fu1/fu2 #fu2 la1/la2/la3/la4	shidifu*fula				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74658	史蒂夫·彭特罗达吉斯	1	shi3 di4 fu1/fu2 #peng2 te4 luo1/luo2/luo5 da2 ji2 si1	shidifu*pengteluodajisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74659	史蒂夫·文尼	1	shi3 di4 fu1/fu2 #wen2 ni2	shidifu*wenni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74660	史蒂夫·文德	1	shi3 di4 fu1/fu2 #wen2 de2	shidifu*wende				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74661	史蒂夫·旺德	1	shi3 di4 fu1/fu2 #wang4 de2	shidifu*wangde				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74662	史蒂夫·旺德尔	1	shi3 di4 fu1/fu2 #wang4 de2 er3	shidifu*wangdeer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74663	史蒂夫·潘宁	1	shi3 di4 fu1/fu2 #pan1 ning2/ning4	shidifu*panning				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74664	史蒂夫·马卡斯	1	shi3 di4 fu1/fu2 #ma3 ka3/qia3 si1	shidifu*makasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74665	史蒂夫·马鲁	1	shi3 di4 fu1/fu2 #ma3 lu3	shidifu*malu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74670	史蒂文·席格	1	shi3 di4 wen2 #xi2 ge1/ge2	shidiwen*xige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74671	史蒂文·索德伯格	1	shi3 di4 wen2 #suo3 de2 bai3/bo2 ge1/ge2	shidiwen*suodeboge				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74672	史蒂文·西格	1	shi3 di4 wen2 #xi1 ge1/ge2	shidiwen*xige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74675	史蒂芙·王	1	shi3 di4 fu2 #wang2/wang4	shidi**wang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74676	史蒂芬·克恩	1	shi3 di4 fen1 #ke4 en1	shidifen*keen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74677	史蒂芬·克雷默	1	shi3 di4 fen1 #ke4 lei2 mo4	shidifen*keleimo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74678	史蒂芬·兰帕德	1	shi3 di4 fen1 #lan2 pa4 de2	shidifen*lanpade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74679	史蒂芬·卢明斯	1	shi3 di4 fen1 #lu2 ming2 si1	shidifen*lumingsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74680	史蒂芬·埃利奥特	1	shi3 di4 fen1 #ai1 li4 ao4 te4	shidifen*ailiaote				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74681	史蒂芬·德尔	1	shi3 di4 fen1 #de2 er3	shidifen*deer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74682	史蒂芬·莫利	1	shi3 di4 fen1 #mo4 li4	shidifen*moli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74683	史蒂芬·西恩博格	1	shi3 di4 fen1 #xi1 en1 bo2 ge1/ge2	shidifen*xienboge				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74684	史蒂芬·诺林顿	1	shi3 di4 fen1 #nuo4 lin2 du2/dun4	shidifen*nuolindun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74692	史迪格·博根	1	shi3 di2 ge1/ge2 #bo2 gen1	shidige*bogen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74693	史都·加曼	1	shi3 dou1/du1 #jia1 man4	shidu*jiaman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74694	史都利史基	1	shi3 dou1/du1 li4 shi3 ji1	shidulishiji				待分配	证据不足或仍冲突；待分配	
74695	史都华	1	shi3 dou1/du1 hua1/hua2/hua4	shiduhua				待分配	证据不足或仍冲突；待分配	
74696	史都华·史考特	1	shi3 dou1/du1 hua1/hua2/hua4 #shi3 kao3 te4	shiduhua*shikaote				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74697	史都华梅登	1	shi3 dou1/du1 hua1/hua2/hua4 mei2 deng1	shiduhuameideng				待分配	证据不足或仍冲突；待分配	
74698	史都瓦	1	shi3 dou1/du1 wa3/wa4	shiduwa				待分配	证据不足或仍冲突；待分配	
74699	史都贝克	1	shi3 dou1/du1 bei4 ke4	shidubeike				待分配	证据不足或仍冲突；待分配	
74701	史钊	1	shi3 zhao1	shi*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74707	史黛夫	1	shi3 dai4 fu1/fu2	shi*fu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74708	叶卡特琳堡	1	xie2/ye4 ka3/qia3 te4 lin2 bao3/bu3/pu3/pu4	yekatelinbao				待分配	证据不足或仍冲突；待分配	
74709	叶慈	1	xie2/ye4 ci2	yeci				待分配	证据不足或仍冲突；待分配	
74710	叶慈曾	1	xie2/ye4 ci2 ceng2/zeng1	yecizeng				待分配	证据不足或仍冲突；待分配	
74711	叶来我	1	xie2/ye4 lai2 wo3	yelaiwo				待分配	证据不足或仍冲突；待分配	
74712	叶森·格雷戈维奇	1	xie2/ye4 sen1 #ge1/ge2 lei2 ge1 wei2 ji1/qi2	yesen*geleigeweiqi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74713	叶泽里美	1	xie2/ye4 ze2 li3 mei3	yezelimei				待分配	证据不足或仍冲突；待分配	
74714	叶猴	1	xie2/ye4 hou2	yehou				待分配	证据不足或仍冲突；待分配	
74716	叶芝也	1	xie2/ye4 zhi1 ye3	yezhiye				待分配	证据不足或仍冲突；待分配	
74718	叶门	1	xie2/ye4 men2	yemen				待分配	证据不足或仍冲突；待分配	
74720	司乐冰	1	si1 le4/yue4 bing1	silebing				待分配	证据不足或仍冲突；待分配	
74722	司奇	1	si1 ji1/qi2	siqi				待分配	证据不足或仍冲突；待分配	
74736	吁请	1	xu1/yu1/yu4 qing3	yuqing				待分配	证据不足或仍冲突；待分配	
74748	合二	1	ge3/he2 er4	heer				待分配	证据不足或仍冲突；待分配	
74749	合作医疗	1	ge3/he2 zuo1/zuo2/zuo4 yi1 liao2	hezuoyiliao				待分配	证据不足或仍冲突；待分配	
74750	合作方	1	ge3/he2 zuo1/zuo2/zuo4 fang1	hezuofang				待分配	证据不足或仍冲突；待分配	
74753	合成染料	1	ge3/he2 cheng2 ran3 liao4	hechengranliao				待分配	证据不足或仍冲突；待分配	
74756	合成酶	1	ge3/he2 cheng2 mei2	hechengmei				待分配	证据不足或仍冲突；待分配	
74761	合金球	1	ge3/he2 jin1 qiu2	hejinqiu				待分配	证据不足或仍冲突；待分配	
74763	合音	1	ge3/he2 yin1	heyin				待分配	证据不足或仍冲突；待分配	
74766	吉伯特·柯南	1	ji2 bai3/bo2 te4 #ke1 na1/nan2	jibote*kenan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74767	吉伯特·比库	1	ji2 bai3/bo2 te4 #bi3 ku4	jibote*biku				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74775	吉勒斯	1	ji2 le4/lei1 si1	jilesi				待分配	证据不足或仍冲突；待分配	
74776	吉勒斯比	1	ji2 le4/lei1 si1 bi3	jilesibi				待分配	证据不足或仍冲突；待分配	
74777	吉卜利	1	ji2 bo5/bu3 li4	jiboli				待分配	证据不足或仍冲突；待分配	
74779	吉吉塔	1	ji2 ji2 da5/ta3	jijita				待分配	证据不足或仍冲突；待分配	
74780	吉和梅	1	ji2 he2/he4/hu2/huo2/huo4 mei2	jihemei				待分配	证据不足或仍冲突；待分配	
74789	吉妮·贝尔	1	ji2 ni1 #bei4 er3	jini*beier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74790	吉姆·佳	1	ji2 mu3 #jia1	jimu*jia				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74791	吉姆·克劳	1	ji2 mu3 #ke4 lao2	jimu*kelao				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74792	吉姆·克罗	1	ji2 mu3 #ke4 luo1/luo2/luo5	jimu*keluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74793	吉姆·兰普利	1	ji2 mu3 #lan2 pu3 li4	jimu*lanpuli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74794	吉姆·卡罗尔	1	ji2 mu3 #ka3/qia3 luo1/luo2/luo5 er3	jimu*kaluoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74795	吉姆·卢瑟·戴维斯	1	ji2 mu3 #lu2 se4 #dai4 wei2 si1	jimu*luse*daiweisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74796	吉姆·史密斯	1	ji2 mu3 #shi3 mi4 si1	jimu*shimisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74797	吉姆·哈里森	1	ji2 mu3 #ha1/ha3/ha4 li3 sen1	jimu*halisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74798	吉姆·埃利斯	1	ji2 mu3 #ai1 li4 si1	jimu*ailisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74799	吉姆·多德	1	ji2 mu3 #duo1 de2	jimu*duode				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74800	吉姆·奥希尔	1	ji2 mu3 #ao4 xi1 er3	jimu*aoxier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74801	吉姆·威尔逊	1	ji2 mu3 #wei1 er3 xun4	jimu*weierxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74802	吉姆·尼古拉斯	1	ji2 mu3 #ni2 gu3 la1/la2/la3/la4 si1	jimu*nigulasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74803	吉姆·戴维斯	1	ji2 mu3 #dai4 wei2 si1	jimu*daiweisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74804	吉姆·拉姆森	1	ji2 mu3 #la1/la2/la3/la4 mu3 sen1	jimu*lamusen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74805	吉姆·斯丹索	1	ji2 mu3 #si1 dan1 suo3	jimu*sidansuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74806	吉姆·斯卡布罗	1	ji2 mu3 #si1 ka3/qia3 bu4 luo1/luo2/luo5	jimu*sikabuluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74807	吉姆·斯特吉斯	1	ji2 mu3 #si1 te4 ji2 si1	jimu*sitejisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74808	吉姆·普利杜克斯	1	ji2 mu3 #pu3 li4 du4 ke4 si1	jimu*pulidukesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74809	吉姆·普里杜	1	ji2 mu3 #pu3 li3 du4	jimu*pulidu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74810	吉姆·杰弗里斯	1	ji2 mu3 #jie2 fu2 li3 si1	jimu*jiefulisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74811	吉姆·柴维斯	1	ji2 mu3 #chai2 wei2 si1	jimu*chaiweisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74812	吉姆·格朗丹	1	ji2 mu3 #ge1/ge2 lang3 dan1	jimu*gelangdan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74813	吉姆·欧舍尔	1	ji2 mu3 #ou1 she3/she4 er3	jimu*ousheer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74814	吉姆·汤普森	1	ji2 mu3 #shang1/tang1 pu3 sen1	jimu*tangpusen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74815	吉姆·法雷尔	1	ji2 mu3 #fa3 lei2 er3	jimu*faleier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74816	吉姆·温特	1	ji2 mu3 #wen1 te4	jimu*wente				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74817	吉姆·澳文	1	ji2 mu3 #ao4 wen2	jimu*aowen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74818	吉姆·维特克	1	ji2 mu3 #wei2 te4 ke4	jimu*weiteke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74819	吉姆·英格曼	1	ji2 mu3 #ying1 ge1/ge2 man4	jimu*yinggeman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74820	吉姆·茨威格	1	ji2 mu3 #ci2 wei1 ge1/ge2	jimu*ciweige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74821	吉姆·莫瑞森	1	ji2 mu3 #mo4 rui4 sen1	jimu*moruisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74822	吉姆·莫里森	1	ji2 mu3 #mo4 li3 sen1	jimu*molisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74823	吉姆·贝克	1	ji2 mu3 #bei4 ke4	jimu*beike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74824	吉姆·赛尔	1	ji2 mu3 #sai4 er3	jimu*saier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74825	吉姆·邓巴	1	ji2 mu3 #deng4 ba1	jimu*dengba				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74827	吉姆会因	1	ji2 mu3 hui4/kuai4 yin1	jimuhuiyin				待分配	证据不足或仍冲突；待分配	
74830	吉姆摩里森	1	ji2 mu3 ma1/mo2 li3 sen1	jimumolisen				待分配	证据不足或仍冲突；待分配	
74837	吉娜·伊	1	ji2 na4/nuo2 #yi1	jina*yi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74838	吉娜·克里弗	1	ji2 na4/nuo2 #ke4 li3 fu2	jina*kelifu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74839	吉娜·诺里斯	1	ji2 na4/nuo2 #nuo4 li3 si1	jina*nuolisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74840	吉娜·雷德里	1	ji2 na4/nuo2 #lei2 de2 li3	jina*leideli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74842	吉尔·安	1	ji2 er3 #an1	jier*an				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74843	吉尔·山德士	1	ji2 er3 #shan1 de2 shi4	jier*shandeshi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74844	吉尔·帕默	1	ji2 er3 #pa4 mo4	jier*pamo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74845	吉尔·德勒兹	1	ji2 er3 #de2 le4/lei1 ci2/zi1	jier*delezi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74846	吉尔·斯科特	1	ji2 er3 #si1 ke1 te4	jier*sikete				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74847	吉尔·梅希克	1	ji2 er3 #mei2 xi1 ke4	jier*meixike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74848	吉尔·瓦伦丁	1	ji2 er3 #wa3/wa4 lun2 ding1/zheng1	jier*walunding				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74849	吉尔·约翰逊	1	ji2 er3 #yao1/yue1 han4 xun4	jier*yuehanxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74850	吉尔·雅各布	1	ji2 er3 #ya1/ya3 ge3/ge4 bu4	jier*yagebu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74851	吉尔·马林	1	ji2 er3 #ma3 lin2	jier*malin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74853	吉尔伯恩	1	ji2 er3 bai3/bo2 en1	jierboen				待分配	证据不足或仍冲突；待分配	
74854	吉尔伯托·吉尔	1	ji2 er3 bai3/bo2 tuo1 #ji2 er3	jierbotuo*jier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74855	吉尔伯特·帕顿	1	ji2 er3 bai3/bo2 te4 #pa4 du2/dun4	jierbote*padun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74857	吉尔勒莫	1	ji2 er3 le4/lei1 mo4	jierlemo				待分配	证据不足或仍冲突；待分配	
74861	吉尔摩	1	ji2 er3 ma1/mo2	jiermo				待分配	证据不足或仍冲突；待分配	
74864	吉尔霍奇	1	ji2 er3 huo4 ji1/qi2	jierhuoqi				待分配	证据不足或仍冲突；待分配	
74866	吉巴娜	1	ji2 ba1 na4/nuo2	jibana				待分配	证据不足或仍冲突；待分配	
74869	吉思乐	1	ji2 sai1/si1 le4/yue4	jisile				待分配	证据不足或仍冲突；待分配	
74870	吉恩·保罗	1	ji2 en1 #bao3 luo1/luo2/luo5	jien*baoluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74871	吉恩·哈克曼	1	ji2 en1 #ha1/ha3/ha4 ke4 man4	jien*hakeman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74872	吉恩·奥特利	1	ji2 en1 #ao4 te4 li4	jien*aoteli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74873	吉恩·派库萨	1	ji2 en1 #pa1/pai4 ku4 sa4	jien*paikusa				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74874	吉恩·西蒙斯	1	ji2 en1 #xi1 meng1/meng2/meng3 si1	jien*ximengsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74875	吉恩·鲁克	1	ji2 en1 #lu3 ke4	jien*luke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74876	吉恩会	1	ji2 en1 hui4/kuai4	jienhui				待分配	证据不足或仍冲突；待分配	
74879	吉拉·弗莱茨	1	ji2 la1/la2/la3/la4 #fu2 lai2 ci2	jila*fulaici				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74881	吉提马特	1	ji2 di1/ti2 ma3 te4	jitimate				待分配	证据不足或仍冲突；待分配	
74883	吉斯卡尔·德斯坦	1	ji2 si1 ka3/qia3 er3 #de2 si1 tan3	jisikaer*desitan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74886	吉昊	1	ji2 hao4	ji*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74896	吉玛伯莱	1	ji2 ma3 bai3/bo2 lai2	jimabolai				待分配	证据不足或仍冲突；待分配	
74899	吉米·亨德里克斯	1	ji2 mi3 #heng1 de2 li3 ke4 si1	jimi*hengdelikesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74900	吉米·伊甘让	1	ji2 mi3 #yi1 gan1 rang4	jimi*yiganrang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74901	吉米·佩吉	1	ji2 mi3 #pei4 ji2	jimi*peiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74902	吉米·凯兹	1	ji2 mi3 #kai3 ci2/zi1	jimi*kaizi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74903	吉米·凯利	1	ji2 mi3 #kai3 li4	jimi*kaili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74904	吉米·卡格尼	1	ji2 mi3 #ka3/qia3 ge1/ge2 ni2	jimi*kageni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74905	吉米·史蒂文森	1	ji2 mi3 #shi3 di4 wen2 sen1	jimi*shidiwensen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74906	吉米·坎	1	ji2 mi3 #kan3	jimi*kan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74907	吉米·巴菲特	1	ji2 mi3 #ba1 fei1/fei3 te4	jimi*bafeite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74908	吉米·帕格斯	1	ji2 mi3 #pa4 ge1/ge2 si1	jimi*pagesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74909	吉米·康纳斯	1	ji2 mi3 #kang1 na4 si1	jimi*kangnasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74910	吉米·康诺尔斯	1	ji2 mi3 #kang1 nuo4 er3 si1	jimi*kangnuoersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74911	吉米·惠特曼	1	ji2 mi3 #hui4 te4 man4	jimi*huiteman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74912	吉米·汉克斯	1	ji2 mi3 #han4 ke4 si1	jimi*hankesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74913	吉米·波普	1	ji2 mi3 #bo1 pu3	jimi*bopu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74914	吉米·科斯特	1	ji2 mi3 #ke1 si1 te4	jimi*kesite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74915	吉米·科米兹	1	ji2 mi3 #ke1 mi3 ci2/zi1	jimi*kemizi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74916	吉米·胡佛	1	ji2 mi3 #hu2 fo2/fu2	jimi*hufo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74917	吉米·芬尼迪	1	ji2 mi3 #fen1 ni2 di2	jimi*fennidi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74918	吉米·蒂尔尼	1	ji2 mi3 #di4 er3 ni2	jimi*dierni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74919	吉米·迈尔斯	1	ji2 mi3 #mai4 er3 si1	jimi*maiersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74920	吉米·迈耶斯	1	ji2 mi3 #mai4 ye1/ye2 si1	jimi*maiyesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74921	吉米·霍法	1	ji2 mi3 #huo4 fa3	jimi*huofa				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74922	吉米·麦克加利	1	ji2 mi3 #mai4 ke4 jia1 li4	jimi*maikejiali				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74923	吉米·麦凯恩	1	ji2 mi3 #mai4 kai3 en1	jimi*maikaien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
